기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
CBI,2021,32454420460.0,44308003626.0,76762424086.0,42090385101.0,4505378070.0,46595763171.0,5583709200.0,-2221007872.0,30166660915.0,24773247642.0,-4984016873.0,-12277531327.0,39.298734080105504,,,,-0.15994194390272243,
CJ ENM,2018,1806584959387.0,4948363305154.0,6754948264541.0,2021789390842.0,1307510563637.0,3329299954479.0,110563520000.0,1069859888095.0,3425648310062.0,2360375323914.0,182069696289.0,184218974433.0,50.71316871580471,1.0273742252257556,0.9895045303215081,1.0666463992907815,0.02727170767539812,0.10661391074471739
CJ ENM,2019,1592806071240.0,3836964831237.0,5434907587861.0,1659291855578.0,622405928477.0,2283014093463.0,110577370000.0,1145527001590.0,3151893494398.0,3789723949697.0,269385174265.0,58615849418.0,57.993506668592346,0.3241287432177165,0.37716431190120875,-2.142818474220204,0.010785068277686992,0.017823026036339184
CJ ENM,2020,1750295061988.0,4527543484306.0,6279917456928.0,1551789952275.0,942948861399.0,2494738813674.0,110577370000.0,1161951415725.0,3785178643254.0,3391184002869.0,272067865192.0,65629506717.0,60.27433750865935,0.009860374083895606,-0.11752235988693871,0.10686743889823042,0.010450695756294946,0.018921385107352712
CJ ENM,2020,,,,,,,,,,,,,,,,,,
CJ ENM,2021,2658344877289.0,5280193412240.0,7940624818521.0,2322867570128.0,1414451452850.0,3737319022978.0,110577370000.0,1333797442896.0,4203305795543.0,3552396542302.0,296876105378.0,227562448542.0,52.934194620794294,,,,0.028658002832626612,
CJ 바이오사이언스,2018,11467499135.0,1366946551.0,12834445686.0,1882245165.0,174958006.0,2057203171.0,1609515500.0,-3134950478.0,10777242515.0,3924040385.0,-3406324304.0,-3134950478.0,83.97123474335922,88.15438663000539,-904.2905153273543,73.58884953333543,-0.24426068368653034,-0.001487844662617136
CJ 바이오사이언스,2019,31641955125.0,2099460132.0,33741415257.0,2305012700.0,581755588.0,2886768288.0,1904474000.0,-4222377099.0,30854646969.0,4783223061.0,-4518862465.0,-4345714426.0,91.44443626323259,0.24619872138551577,0.17962421259534064,0.27861102440512736,-0.12879466948554974,-0.2087685416089581
CJ 바이오사이언스,2020,41089229502.0,32273195978.0,73362425480.0,3003731982.0,35874624754.0,38878356736.0,1946174000.0,-8762586953.0,34484068744.0,5311546768.0,-8513222577.0,-8762586953.0,47.00508266783112,0.4691948408340082,0.09946701593271183,0.5040603363699369,-0.11944243794650504,-0.2682203608497486
CJ 바이오사이언스,2020,,,,,,,,,,,,,,,,,,
CJ 바이오사이언스,2021,81554954696.0,34800289142.0,116355243838.0,23836477795.0,4665685804.0,28502163599.0,2936836000.0,-28034929188.0,87853080239.0,4363027299.0,-10108067067.0,-19272342235.0,75.50418643900294,,,,-0.16563363712109658,
CJ프레시웨이,2018,467895070395.0,449449463904.0,917344534299.0,567260321895.0,97215936820.0,664476258715.0,11871586000.0,38510071268.0,252868275584.0,2828072306744.0,50659237257.0,16703748519.0,27.56524578600475,1.199530581475608,0.9984572433708305,2.15377349060771,0.018208805846065646,0.09804931938388602
CJ프레시웨이,2019,495835313210.0,685827839841.0,1181663153051.0,580356233477.0,312173505794.0,892529739271.0,11871586000.0,37127997357.0,289133413780.0,3055080973511.0,58075352319.0,9587493127.0,24.468344725268857,0.12769815017676156,0.07430528641802712,-0.7422435977512644,0.008113558506284582,0.035378093150411516
CJ프레시웨이,2020,431141432493.0,691637270444.0,1122778702937.0,442099448113.0,394443873761.0,836543321874.0,11871586000.0,-5952920215.0,286235381063.0,2478528727709.0,-3545694413.0,-42517696613.0,25.49348151280893,17.379119448667502,-0.23261874649923042,1.2254941798533032,-0.03786827849671611,-0.14779284867057046
CJ프레시웨이,2020,,,,,,,,,,,,,,,,,,
CJ프레시웨이,2021,502157512435.0,714326414634.0,1216483927069.0,607807422183.0,266041906389.0,873849328572.0,11871586000.0,19054826244.0,342634598497.0,2291433979355.0,55629220994.0,31105478910.0,28.165978265125524,,,,0.025569987582939657,
CMG제약,2018,81370414653.0,33009464894.0,114379879547.0,8495060173.0,1902973300.0,10398033473.0,54443622000.0,2308863709.0,103981846074.0,49864782072.0,2567820061.0,6065025685.0,90.90921103066268,-20.663987223596973,-44.9529528484931,-4.1286640033413144,0.05302528477054228,0.027159885215717015
CMG제약,2019,150584065835.0,41659100349.0,192243166184.0,9306386532.0,2778496521.0,12084883053.0,69446122000.0,5054709407.0,180158283131.0,58622680863.0,2603773813.0,3051176651.0,93.71375155076602,0.013808323833849081,0.14939437538632921,-0.9877661567094891,0.015871444023553245,0.02147656270542942
CMG제약,2020,145981119667.0,49374463000.0,195355582667.0,13648964162.0,575614047.0,14224578209.0,69446122000.0,5638075578.0,181131004458.0,64459891270.0,1822364992.0,214996493.0,92.7186221070288,-0.4287883187123911,0.09055569738009582,-13.191750797535102,0.0011005392836225191,0.0011901625671480102
CMG제약,2020,,,,,,,,,,,,,,,,,,
CMG제약,2021,125482012706.0,73692580328.0,199174593034.0,13728982194.0,743116625.0,14472098819.0,69446122000.0,8790536350.0,184702494215.0,69475495579.0,1660476360.0,3165485154.0,92.73396340439388,,,,0.015893016803903485,
CNH,2018,,,375203185891.0,,,278136869685.0,93000000000.0,15906654289.0,97066316206.0,62609641686.0,1736368448.0,733731760.0,25.870333690129875,0.04370736411814827,-0.10966128711347119,-3.314226705955866,0.001955558448304743,0.005208041009959245
CNH,2019,,,499010776741.0,,,391179581225.0,93000000000.0,28472733792.0,107831195516.0,167822819295.0,21696165686.0,14739646914.0,21.60899133686792,0.9199688796108136,0.626930104326609,0.9502205334848906,0.029537732652315588,0.1438733617614488
CNH,2020,,,557811296669.0,,,423205003878.0,93000000000.0,53458619423.0,134606292791.0,308789569737.0,55610775660.0,29442437096.0,24.131152164685204,0.6098568051154567,0.45651396373932956,0.49937408829507174,0.052782073923237284,0.24288683488352983
CNH,2020,,,,,,,,,,,,,,,,,,
CNH,2021,,,629691378583.0,,,498211826966.0,93000000000.0,56783293178.0,131479551617.0,302353800668.0,-1843796817.0,1041966333.0,20.879998692831016,,,,0.001654725423341107,
CNT85,2018,37932944377.0,38539710328.0,76472654705.0,37869585884.0,7393046416.0,45262632300.0,23081934000.0,-60591269594.0,31210022405.0,15491233649.0,-5210713631.0,-20677632347.0,40.8120033564879,0.6461527254096763,-18.517735483094835,1.0503909884610736,-0.2703925007803873,-0.25419738752532267
CNT85,2019,7250958690.0,20941839622.0,28192798312.0,31242299102.0,85306520.0,31327605622.0,23081934000.0,-94402358113.0,-3134807310.0,7220574941.0,-3504601855.0,-31395315498.0,-11.119177583254297,-0.48682042827943434,-1.1454293841668197,0.3413784184357936,-1.1135934486019743,-2.236514690396177
CNT85,2020,37932744152.0,21932481500.0,59865225652.0,36982463288.0,297660556.0,37280123844.0,35351956000.0,-71578664317.0,22585101808.0,896922665.0,-4763804179.0,-7131802782.0,37.726579265379364,0.26432705390176786,-7.050387422197654,-3.4021569941949075,-0.1191309763610945,-0.7333362261155826
CNT85,2020,,,,,,,,,,,,,,,,,,
CNT85,2021,23081548035.0,43058905423.0,66140453458.0,43218509445.0,2064609813.0,45283119258.0,35351956000.0,-73903894670.0,20857334200.0,38634051420.0,-230558533.0,-2404846001.0,31.534912613268766,,,,-0.03635968420638523,
CS,2018,26756996941.0,5752184812.0,32509181753.0,9197370371.0,758725149.0,9956095520.0,9417575000.0,-15199321735.0,22553086233.0,58746314097.0,2284327536.0,4097741008.0,69.37451211277799,1.1009305930811142,0.34235786510437555,1.5868711556696802,0.12604872799118833,0.1887906621095498
