기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용
(주)토박스코리아,215480,2019,32130003,9414436,22715568,28366406,15306409,1123687,153171,29806458,2966580,18211942,11594516,2605291,376986,0,0,7000000,992401,0,
(주)토박스코리아,215480,2020,27572765,5308898,22263867,25320842,10408340,-2979281,-3496401,24940722,5072188,18302031,6638690,1461808,303380,0,0,0,1555656,0,
(주)토박스코리아,215480,2021,38363381,9966743,28396638,36131561,20585803,2907968,3627484,29804539,6256127,19847250,9957289,2708348,337201,500000,450000,0,2451701,0,0
(주)토박스코리아,215480,2017,31328838,10759475,20569362,30535280,18213186,4534858,549102,28669694,1412565,20716264,7953429,3344492,396048,0,0,10715000,1219280,0,
(주)토비스,51360,2018,292953530,115644832,177308697,430178783,77984173,28506963,19677903,187361757,113071936,117097916,70263840,91669852,49639772,41665824,1043333,0,79877440,0,0
(주)토비스,51360,2019,281164074,87081475,194082599,418881870,82442979,30657766,22081822,181896293,85169860,117380214,64516077,77955042,28205007,35632629,716250,0,72597784,0,0
(주)토비스,51360,2020,280986316,96763457,184222859,272751121,37162976,-5586800,-6616890,168585085,90920492,99433539,69151545,46413128,27704198,45720970,2718333,0,80630671,0,0
(주)토비스,51360,2021,369137261,170250167,198887094,263392928,46847480,-880851,1101466,214946846,159336062,118676382,96270463,57964738,36229480,95626415,8240000,0,107840863,0,0
(주)토비스,51360,2017,264185622,98376301,165809321,522718329,72225013,20620529,12963097,165596398,98131456,111357314,54239082,82549856,53010160,26429380,200000,0,75109867,0,0
(주)토탈소프트뱅크,45340,2021,26745544,10520895,16224649,14091536,6344912,3035572,3014900,16063751,5744456,16032681,31070,1895945,17930,0,0,0,9058439,0,
(주)토탈소프트뱅크,45340,2017,16188431,9969402,6219029,9746423,3629186,413725,327226,6029490,2516294,6007544,21947,1924128,1573,0,4010000,0,9241095,0,
(주)토탈소프트뱅크,45340,2019,21363966,10130880,11233086,11817222,5567440,2429508,2577419,11123158,3876760,11017952,105207,2165912,0,0,2500000,0,9174137,0,
(주)토탈소프트뱅크,45340,2018,20369435,11495153,8874282,11629588,4702190,1952851,2802448,9746600,4247042,9685156,61444,2234933,22742,0,3410000,0,9229928,0,
(주)토탈소프트뱅크,45340,2020,24136284,10689826,13446458,12143404,5265953,2552360,2225044,13439150,4956549,13399705,39445,2206634,0,0,1700000,0,9193501,0,
(주)톱텍,108230,2019,451010686,109147874,341862812,167160373,21084523,-6564372,210762,275113836,107059072,214887747,60226089,42394328,29140829,9000000,1971390,0,149541334,0,0
(주)톱텍,108230,2018,392793260,48945737,343847523,308791516,27291790,8227065,17690791,284796132,43622028,262568877,22227255,27766922,21273386,5000000,5199910,0,94260710,0,0
(주)톱텍,108230,2021,403393924,82995688,320398236,164876777,-27313439,-88639251,-106288778,230966640,77585627,165837923,65128718,94037131,28977362,16000000,0,0,126244786,0,0
(주)톱텍,108230,2020,471805873,64911807,406894065,322025522,79368143,28865078,13832576,255617592,59750735,186290461,69327131,42257637,11823303,6000000,0,0,177443618,0,0
(주)톱텍,108230,2017,445178864,117767771,327411093,1138438650,231068362,211698457,149466120,350687950,109316844,321364233,29323718,58888577,61985094,5000000,8450927,0,81899684,0,0
(주)투비소프트,79970,2018,105752053,46045571,59706482,53924737,17419408,-9419308,-25175736,49221824,35559398,47153799,2068025,22955057,4279229,3081735,0,10148932,2628972,0,0
(주)투비소프트,79970,2019,86165522,38440055,47725468,40782024,17365273,-10802300,-21468230,42693791,37551174,41870468,823323,7375759,1796177,1346000,3996,0,2572981,0,0
(주)투비소프트,79970,2020,64080479,25621643,38458836,38811177,19010262,-1985097,-26188069,27517659,17647498,27275439,242219,7682655,1631282,1121000,99443,7000000,1490511,0,0
(주)투비소프트,79970,2017,96133679,49624186,46509494,39454565,16010628,-10006674,-25647764,30265848,49331342,26822755,3443093,19772734,2046515,2027499,150000,0,4869173,0,0
(주)투비소프트,79970,2021,82065030,48971816,33093214,37795434,18896223,-6417420,-16717018,53580213,43244200,50851135,2729078,5560418,2019762,2010705,1040000,3000000,6654131,0,0
(주)툴젠,199800,2021,87673408,3010025,84663383,1597275,1086403,-20730701,-20692478,75489100,1985211,75483249,5852,104859,274746,0,0,0,7665034,0,
(주)트레이스,52290,2017,36186409,19370844,16815565,3482751,-3410279,-14260231,-36415421,10710085,19187397,9198787,1511298,10142723,322011,12691828,0,0,7969281,0,0
(주)트루윈,105550,2021,116874704,56693453,60181250,39640750,13264433,6436168,-10045030,61848044,53083868,54038061,7809983,6139054,1324639,9230000,395085,0,36925726,0,
(주)트루윈,105550,2019,56243073,31406825,24836248,29558743,2609042,-3230131,-3176090,19486842,25017037,15041904,4444937,5233690,2754517,9230000,6180000,0,24955911,0,
(주)트루윈,105550,2020,95690354,59236560,36453794,37666650,8795395,1301376,632812,60280641,39004835,55288873,4991768,11974481,3967403,9230000,6929093,16565706,22819598,0,0
(주)트루윈,105550,2018,52399223,30375591,22023632,33647588,6705002,1812979,-1200754,12948984,23283141,9783716,3165268,7532346,1516737,10020000,6811140,0,31715067,0,
(주)트루윈,105550,2017,60392171,43049134,17343038,35388139,4046134,-2484733,-6600299,22447712,32009304,19372668,3075043,6100043,1815548,11330000,10939830,0,34862558,0,
(주)트윔,290090,2021,81293683,6313376,74980307,21603000,6728534,1267349,2223197,62795301,6070551,58167081,4628222,6914463,1716900,0,0,0,16378952,0,0
(주)특수건설,26150,2019,172203512,85694364,86509148,193202917,12568044,894458,784653,103793717,61042811,93755238,10038479,26780899,29507410,8143799,11300000,0,27729894,0,0
(주)특수건설,26150,2017,117602522,52410951,65191571,131132091,11261813,2666819,437417,88022526,38801667,79907089,8115437,19400392,17670628,7195890,7538400,0,8608503,0,0
(주)특수건설,26150,2018,147908766,62635490,85273275,186200582,11213463,1119721,709871,107742043,47844116,97693644,10048400,31218510,27281905,5088491,3200000,5000000,19783607,0,0
(주)특수건설,26150,2021,180609010,76854634,103754376,232010360,11998373,-711715,-6811810,99832251,54506365,91400786,8431466,30035162,27185085,2520593,10665617,0,42778617,0,0
(주)특수건설,26150,2020,175924586,84597898,91326688,198858960,13884209,3520917,2386859,107560928,60060051,100985099,6575830,21298788,24140592,4600520,12298772,0,30704072,0,0
(주)티라유텍,322180,2020,33129568,7089520,26040049,34623053,4334154,-1330950,-1082089,14579150,5086770,14300187,278962,4811233,936336,1134000,0,0,5203804,0,
(주)티라유텍,322180,2019,34783878,6350138,28433740,28539531,6914147,2220862,2616116,22242797,4341326,21795749,447048,3428091,369986,1534000,209524,0,3730978,0,
(주)티라유텍,322180,2021,30824316,11428898,19395418,39326882,-1435025,-7892968,-8698553,9952489,7384541,9826823,125666,6141066,1905285,2134000,1259339,0,6146009,0,
(주)티로보틱스,117730,2020,75860113,42925494,32934619,66356725,18442271,3490643,-1188896,35568036,32507805,28965231,6602805,9049125,5556237,13565000,7781250,0,23610618,0,0
(주)티로보틱스,117730,2018,62008511,29650366,32358145,66524525,15954204,5641813,5193142,43532667,22879490,31415029,12117639,9541874,8467420,8352135,5031250,0,14760793,0,0
(주)티로보틱스,117730,2019,78214298,47870064,30344234,51553281,9220183,-3997571,-3373264,41144143,24050525,29578288,11565855,9836997,8983871,11161686,10562500,10000000,23817315,0,0
(주)티로보틱스,117730,2021,85792705,61016093,24776612,44123038,10226481,-6569915,-11253198,34627617,48917470,20519914,14107702,8903227,6514300,14750618,9446210,0,28980506,0,0
(주)티비씨,33830,2020,119624622,6310328,113314294,35291792,9900839,2915148,3767802,78901125,4905645,78898870,2255,12738301,0,0,0,0,16333728,0,0
(주)티비씨,33830,2021,126908629,9708953,117199676,42842548,12553872,4330542,4628244,78773232,8447714,78773232,0,12413108,0,0,0,0,15839682,0,0
(주)티비씨,33830,2018,116772500,10204785,106567715,40608939,10172957,2571628,3382632,86336481,9387977,86333945,2535,11114070,0,0,0,0,24225627,0,0
(주)티비씨,33830,2017,114357797,10048324,104309473,42211580,11204448,2677784,3067238,83909721,9247360,83906969,2752,10021532,0,0,0,0,25321563,0,0
(주)티비씨,33830,2019,121715439,11054999,110660440,49281263,13104353,5247959,5567951,89522206,9740617,89520168,2038,16921321,0,0,0,0,24032118,0,0
(주)티사이언티픽,57680,2017,45277385,35907774,9369611,44382402,2669281,-3301087,-4718832,25208360,26733232,25208360,0,8175694,5241864,0,0,10000000,304742,0,
(주)티사이언티픽,57680,2018,70385119,38755719,31629400,5213668,2728627,-1411380,2339026,45370920,38536650,45367032,3888,10419365,8187990,0,0,0,244897,0,
(주)티사이언티픽,57680,2019,78017559,23732326,54285233,7690404,4106960,2031391,5290352,13706854,23352814,13706854,0,7140162,8471854,0,0,0,242357,0,
(주)티사이언티픽,57680,2020,108716263,25014613,83701650,9518948,3752701,725160,652377,28839843,15775095,28839843,0,9515827,9308121,0,0,5500000,466788,0,
(주)티사이언티픽,57680,2021,296285268,74392503,221892765,10083529,4252907,1001502,-3161873,30898305,32136396,30898305,0,7442183,7199767,0,0,0,429646,0,
(주)티씨엠생명과학,228180,2017,27617811,28980956,-1363144,2513565,1384399,-2828011,-6274461,11508005,27111126,11196605,311400,1448872,207850,0,0,0,3861450,0,
(주)티씨엠생명과학,228180,2018,21350789,37429366,-16078577,3597758,2202084,-4094478,-16700387,7131288,34556768,6598297,532991,3128530,191789,0,0,0,3883652,0,
(주)티씨엠생명과학,228180,2019,20325155,15017277,5307877,3736788,1861075,-3577172,1353145,3879629,14492354,3162641,716989,2235166,390711,0,0,0,4222194,0,
(주)티씨케이,64760,2017,168791620,23340696,145450924,130310060,61219678,47730492,37299878,100857127,22814803,82541820,18315307,13689023,4066843,0,0,0,66560175,0,
(주)티씨케이,64760,2019,250869537,30411608,220457929,171378814,74653780,59171215,46830053,155024996,29769168,120325256,34699740,21618464,7978244,0,0,0,93305908,0,
(주)티씨케이,64760,2020,308578503,38114184,270464319,228209745,98868862,80266434,60513890,197978286,36813969,167724927,30253359,27662142,3236235,0,0,0,106557914,0,
(주)티씨케이,64760,2021,389705971,50193524,339512447,270766568,124123766,103400362,81890628,274927628,48768265,239766441,35161187,34664102,5903818,0,0,0,108428359,0,
(주)티씨케이,64760,2018,214136832,30001456,184135376,170518830,81112856,59075768,46856952,144054240,29464497,118260177,25794063,21082139,5673808,0,0,0,67814435,0,
(주)티앤알바이오팹,246710,2019,27087660,2330497,24757163,1287126,608821,-6859661,-6250992,22877002,899495,22452583,424419,178340,66976,0,0,0,579500,0,
(주)티앤알바이오팹,246710,2018,31103287,837091,30266196,974315,281456,-4933880,-4693360,30141010,302444,29749655,391355,188032,0,0,0,0,533387,0,
(주)티앤알바이오팹,246710,2021,82233779,40540580,41693198,3234679,-212486,-10251059,-11083222,63675596,1671130,60200090,3475506,1098643,0,0,6200000,22964175,9446240,0,
(주)티앤알바이오팹,246710,2020,48505160,2452949,46052211,6805107,2659105,-5508992,-5604365,42834048,1209345,39255130,3578919,585085,3090,0,0,0,1676316,0,
(주)티앤엘,340570,2021,98309904,8220659,90089245,71895885,30514637,22327324,19584603,52408178,6996895,45428021,6980156,8321287,677081,0,0,0,42669131,0,0
(주)티앤엘,340570,2020,79453959,7502654,71951305,40633124,15807893,9592475,10041588,47586086,6284298,42389145,5196941,7339718,2925315,0,0,0,28571413,0,0
(주)티에스넥스젠,43220,2021,99107742,53795431,45312310,18537583,998821,-5317172,-6532493,61423352,45059811,52531141,8892212,9461107,2816044,0,3404120,0,9029360,0,0
(주)티에스넥스젠,43220,2017,67116848,39475284,27641564,37440454,1712367,-10156005,-13284055,27406384,27207596,24227116,3179269,24440462,5324773,4403277,9929520,0,24300811,0,0
(주)티에스넥스젠,43220,2018,55730869,38516877,17213992,39527527,-2284857,-12488709,-21548193,24356705,28402591,19265099,5091607,14520649,2939497,3788903,8576880,0,23275685,0,0
(주)티에스넥스젠,43220,2019,63428293,28769940,34658353,42661536,10654473,3388671,924485,30269723,18674587,25448346,4821377,12726649,3574791,1800000,6024240,0,24288026,0,0
(주)티에스넥스젠,43220,2020,62559404,21725786,40833619,33105762,10333087,2465069,678583,30289103,11780439,23946197,6342906,6935043,3109530,1940000,4671600,0,19474770,0,0
(주)티에스아이,277880,2020,67549413,30352308,37197105,45732695,5398796,-884230,-1613657,47518514,23766234,30427452,17091062,4330440,3095922,6000000,6000000,0,17784780,0,0
(주)티에스아이,277880,2021,124000669,83265748,40734921,67319918,8069925,-128617,1155045,92219624,39088236,48565528,43654097,21327075,13720860,4200000,10450000,34000000,26995906,0,0
(주)티에스이,131290,2017,206198241,45895888,160302354,185749435,47689359,22818398,16887315,94516771,32323991,71819693,22697079,33470033,6119703,13167500,8300000,0,79545208,0,0
(주)티에스이,131290,2018,229525155,51280011,178245144,184431173,45176814,14834007,12802451,112750640,37730709,93194796,19555844,39545152,6988632,15094500,6600000,0,85153616,0,0
(주)티에스이,131290,2019,263601878,68776932,194824946,191490314,52130003,20664362,15990194,133002243,56185159,105464599,27537645,61357190,9338637,22577500,4431570,0,94425907,0,0
(주)티에스이,131290,2020,301073426,76155962,224917464,285508585,82179317,42710294,29424361,147353750,60377853,114566130,32787620,45888140,10374037,22695000,6518443,0,116018244,0,0
(주)티에스이,131290,2021,371789336,101610636,270178700,307663254,97823893,54644719,43235019,192217152,75619756,155507698,36709454,62461832,13405500,24200000,7302930,0,128786305,0,0
(주)티에스트릴리온,284610,2017,9272579,4114300,5158278,55896683,34775244,2911862,2205508,8957874,4114300,7276399,1681475,4317316,2750953,0,0,0,65675,0,
(주)티에스트릴리온,284610,2018,28605721,18640033,9965688,74119555,47694544,3421248,2589358,11199048,8390033,8773295,2425754,3703602,1755479,3300000,9950000,0,16884150,0,0
(주)티에스트릴리온,317240,2019,,,,,,,,,,,,,,,,,,,
(주)티에스트릴리온,284610,2019,32198304,19967259,12231045,70459223,43715146,4806169,3220783,12468986,10917259,8782204,3686781,3499943,1783236,3500000,8150000,0,18471322,0,0
(주)티에스트릴리온,317240,2020,41225526,20610613,20614913,61646875,36935985,3660868,-2255194,20250057,13188546,13192671,7057386,3696159,2368856,4801516,6350000,1300000,18648187,0,0
(주)티에스트릴리온,317240,2021,65436971,50569676,14867296,49870572,24483457,-7640072,-6826530,16837935,29716431,8001712,8836222,4099458,2077981,20161318,13247905,12000000,45744927,0,0
(주)티엘비,356860,2021,124993545,41763829,83229716,178099830,23065840,13380291,12407284,54447247,28024484,31219679,23227567,12963655,13453414,0,13010240,0,65218297,0,0
(주)티엘비,356860,2020,113612236,42594381,71017855,184111813,23902992,15157105,11818923,66367660,26360950,47936362,18431298,6551556,16175501,1160000,15637800,0,40974143,0,0
(주)티엘아이,62860,2021,77968873,5987166,71981707,30822365,9015198,-6459717,-4771387,39547198,4786964,33796615,5750585,1983971,3854855,0,0,0,27724997,0,0
(주)티엘아이,62860,2017,103630569,10189373,93441195,67241628,17610513,-3969190,-3595727,54956490,8905373,40923418,14033072,10675060,6137461,0,0,0,32808556,0,0
(주)티엘아이,62860,2019,79837780,5003855,74833924,41981841,10928467,253402,1086893,29407232,3782802,25212874,4194358,1781173,2887770,0,0,0,28720528,0,0
(주)티엘아이,62860,2020,73208609,7410596,65798013,36713521,9061382,-7863322,-7344465,22252996,6285948,14363146,7889850,2750605,4662755,0,0,0,27729846,0,0
(주)티엘아이,62860,2018,78127121,9281206,68845915,48492103,2697890,-18996290,-20671954,31789398,8293706,25870372,5919026,2937473,4545609,0,0,0,30232155,0,0
(주)티움바이오,321550,2020,85351321,2844745,82506576,1048950,1048950,-13303392,-12118823,69851407,1776582,69851407,0,544000,0,0,0,0,2681764,0,0
(주)티움바이오,321550,2019,93456675,958276,92498400,1113000,1113000,-8019654,-7091426,90437602,958276,90437602,0,0,0,0,0,0,859398,0,
(주)티움바이오,321550,2021,113721712,23402975,90318737,56798,56798,-32696160,-32252801,41901293,4466970,41901293,0,23437,0,0,0,25000000,14825540,0,0
(주)티케이케미칼,104480,2018,683205858,423603642,259602216,789034201,78228777,54544399,28284309,250855552,347809781,97034611,153820941,52479522,77162743,189982921,46528500,0,152556893,0,
(주)티케이케미칼,104480,2020,678929481,411702208,267227274,429302695,10281432,-20797164,-1355367,190237286,289880504,74049198,116188088,46505632,44152830,170393853,52169832,30000000,144761277,0,0
(주)티케이케미칼,104480,2019,680221627,408539887,271681740,620804114,37219113,9635619,9491938,213903802,311011385,107512887,106390916,56394655,63597007,207125258,61849164,0,158127855,0,0
(주)티케이케미칼,104480,2021,1148739180,480900781,667838399,693903281,93382694,66516080,350832728,254653793,323524731,102332763,152321031,68602532,82049967,152599083,18650000,30000000,107652807,0,0
(주)티케이케미칼,104480,2017,631962164,379079229,252882935,714390502,40397207,9479401,20210361,226672043,292418234,153771701,72900343,62246543,69446099,177072535,55624500,0,172048193,0,
(주)티플랙스,81150,2017,134805426,52651310,82154116,117694298,8838241,3826924,2859251,68340219,30027154,40813651,27526568,34467939,7913855,18511252,19641640,0,64662283,0,
(주)티플랙스,81150,2021,209217566,64329164,144888401,189544184,23031029,16821458,10431504,84413497,42783880,51209526,33203972,46227225,14719895,17333853,6059900,0,79160323,0,
(주)티플랙스,81150,2018,133205475,49430279,83775196,121665673,8720538,3511191,2106448,67806647,31478962,38463980,29342667,33563671,7198983,18810196,15063320,0,64390103,0,
(주)티플랙스,81150,2019,151967840,53925058,98042782,131217033,9165412,3941478,2219506,71141569,35700228,38974021,32167548,35823841,10180358,20770681,11485000,0,79181579,0,
(주)티플랙스,81150,2020,149129295,47777994,101351301,132616586,9721597,4782732,3793887,68378808,29641874,37721351,30657457,33358572,7625604,17444635,11483860,0,79159853,0,
(주)티피씨,130740,2019,128699080,61919595,66779485,84685070,15972685,535865,-2856259,55463528,42378067,41274214,14189312,14441239,6214821,23500000,16270000,0,59050927,0,0
