회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)넥스트엔터테인먼트월드,160550,2020년 12월,13855206.0,-7909803.0,-7050054.0,우량기업
(주)넥스트엔터테인먼트월드,160550,2018년 12월,26547360.0,-11972464.0,7083333.0,성장기업
(주)넥스트엔터테인먼트월드,160550,2017년 12월,-22823626.0,-6086843.0,1651600.0,스타트업
(주)넥스트엔터테인먼트월드,160550,2021년 12월,-34266008.0,-1896882.0,33990293.0,스타트업
(주)넥스트엔터테인먼트월드,160550,2019년 12월,-16110147.0,-14716145.0,1293776.0,스타트업
(주)넥스틴,348210,2020년 12월,9772607.0,-13866188.0,16100118.0,성장기업
(주)넥스틴,348210,2021년 12월,10403922.0,-10489714.0,574165.0,성장기업
(주)넥슨게임즈,225570,2019년 12월,-11432568.0,-25781157.0,33550275.0,스타트업
(주)넥슨게임즈,225570,2021년 12월,28763200.0,12594644.0,-1540830.0,성숙기업
(주)넥슨게임즈,225570,2020년 12월,22655237.0,-11299480.0,-1327279.0,우량기업
(주)넥슨게임즈,225570,2018년 12월,-10430688.0,-9819717.0,356771.0,스타트업
(주)넥슨게임즈,225570,2017년 12월,9040262.0,11085145.0,928170.0,전환기업
(주)넵튠,217270,2019년 12월,1546987.0,-7779180.0,11225062.0,성장기업
(주)넵튠,217270,2021년 12월,-9945106.0,-180728621.0,193149829.0,스타트업
(주)넵튠,217270,2020년 12월,-1516582.0,18428040.0,-8940824.0,정리기업
(주)넵튠,217270,2017년 12월,-878098.0,-11879769.0,10624845.0,스타트업
(주)넵튠,217270,2018년 12월,-3675776.0,-50754721.0,53278601.0,스타트업
(주)노랑풍선,104620,2021년 12월,-14110679.0,-1564152.0,13611574.0,스타트업
(주)노랑풍선,104620,2019년 12월,6428786.0,-19064205.0,13945027.0,성장기업
(주)노랑풍선,104620,2020년 12월,-21877720.0,843971.0,9330018.0,부실기업
(주)노바렉스,194700,2020년 12월,16648728.0,-46076051.0,31856672.0,성장기업
(주)노바렉스,194700,2021년 12월,23996664.0,-34052987.0,-2883360.0,우량기업
(주)노바렉스,194700,2018년 12월,8485916.0,-12635074.0,18580986.0,성장기업
(주)노바렉스,194700,2019년 12월,-426816.0,-22665952.0,17516261.0,스타트업
(주)노바텍,285490,2019년 12월,5517191.0,-16879886.0,-1054286.0,우량기업
(주)노바텍,285490,2020년 12월,9366993.0,-2112683.0,11805245.0,성장기업
(주)노바텍,285490,2018년 12월,6473993.0,-125260.0,8184072.0,성장기업
(주)노바텍,285490,2021년 12월,878776.0,-11926015.0,-5085517.0,우량기업
(주)노블엠앤비,106520,2019년 12월,3877841.0,-10496416.0,7161139.0,성장기업
(주)노블엠앤비,106520,2021년 12월,-7208403.0,-39860915.0,43314688.0,스타트업
(주)노블엠앤비,106520,2017년 12월,-8648845.0,-13638401.0,24081430.0,스타트업
(주)노블엠앤비,106520,2020년 12월,-5963275.0,209098.0,14271707.0,부실기업
(주)노블엠앤비,106520,2018년 12월,292835.0,-7991049.0,6277490.0,성장기업
(주)노터스,278650,2020년 12월,10757947.0,-7594659.0,-724005.0,우량기업
(주)노터스,278650,2021년 12월,7693183.0,-19713118.0,9411644.0,성장기업
(주)노터스,278650,2019년 12월,4350617.0,-15766523.0,12681014.0,성장기업
(주)녹십자셀,31390,2019년 12월,5292714.0,-2157821.0,-3443432.0,우량기업
(주)녹십자셀,31390,2018년 12월,5468873.0,4715461.0,-10045918.0,성숙기업
(주)녹십자셀,31390,2020년 12월,8599258.0,-12815235.0,5448911.0,성장기업
