기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용,유동비율,당좌비율,부채비율,차입금의존도,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)고려시멘트,198440,2017,115881620,38487512,77394108,87660276,11685674,3017621,1003761,38542950,23125664,35213009,3329941,30481250,5866237,5200000,2285714,1500000,47901220,0,,166.6674306,152.2680992,49.72925329,7485715.294,13.33063793,3.442404174,1.145057996,0.866195174,1.894108271,3.710069597,1.1137135,49.62010957,36.49228979,87.00996551,64.15464679,3161867,-14608429,8857140,성장기업
(주)고려시멘트,198440,2018,127536833,41025871,86510962,85775723,12667611,3837563,4645869,49955334,29601570,45712347,4242987,32476313,4413490,11800000,914286,0,48776544,0,,168.7590692,154.4254139,47.4227428,12714286,14.76829405,4.473950048,5.416298269,3.642766478,5.66897534,2.724874309,0.704759413,-2.197070376,21.36621601,1.794559287,9.138703483,1728759,-9952075,8505781,성장기업
(주)고려시멘트,198440,2019,127035573,38590195,88445378,70921781,5322291,-459627,3396444,46591282,27999091,39649082,6942200,25700956,3352457,11160000,0,0,51139394,0,,166.4028379,141.6084615,43.63166948,11160000,7.504451982,-0.648075942,4.78899987,2.673616468,3.882618944,2.438126857,0.55718357,-20.9441187,934.9298453,4.620410637,-0.39458239,2862239,3351444,-2730727,성숙기업
(주)고려시멘트,198440,2020,115337527,22975393,92362134,70182711,8144784,4280746,4445204,38514127,10466720,35032439,3481688,24896212,3016057,0,0,0,50657764,0,,367.9674912,334.7031257,24.87533798,0,11.60511454,6.099430955,6.333759321,3.854082982,4.917056765,2.774175464,0.57912954,-1.053065619,110.7370771,-0.950752584,-10.14244566,7962781,8445229,-12602154,성숙기업
(주)고려시멘트,198440,2021,146783492,29632628,117150863,65672532,6603544,3697680,4638804,48415815,11415579,44211981,4203834,16961692,4985341,0,0,0,78075530,0,,424.1205374,387.2951254,25.29441717,0,10.05526024,5.630481858,7.063537614,3.160303612,4.42817779,3.137879622,0.501085584,-6.867679474,-15.76842777,35.11697711,21.42336619,13352545,-18200161,-537689,우량기업
(주)고바이오랩,348150,2020,58537097,3146423,55390674,4591485,2641995,-12344974,-55072387,57809840,3089323,57704282,105559,2677529,0,0,0,0,293863,0,0,1871.278594,1867.861729,5.680420137,0,57.54118765,-268.8666956,-1199.446083,-94.08117215,-63.8366714,0.46758321,0.044725032,-1330.31137,129.9529185,-26468.68337,-150.7529405,-9402492,17858425,31045037,부실기업
(주)고바이오랩,348150,2021,105285475,14696967,90588508,2893329,1909085,-16337359,-15381916,98618761,6840044,98362549,256212,199204,0,0,0,7632558,5736568,0,0,1441.785477,1438.039711,16.22387577,7.249393138,65.98229928,-564.6561107,-531.6338377,-14.60972276,-21.07412275,2.011538089,0.035322715,-58.69211555,24.43715046,94.87737267,44.40154542,-5186956,-39158680,55741177,스타트업
(주)고영테크놀러지,98460,2017,205207385,43890214,161317171,203368626,131469104,43748905,26734105,161356541,32283948,139056015,22300525,72204125,16233234,0,0,0,25337806,0,0,499.8042402,430.7280355,27.20740373,0,64.6457158,21.51212105,13.1456388,13.02784741,21.22548813,5.617659542,1.309972964,98.57729825,137.3434695,77.35964984,48.69313548,7492877,5318936,-22001824,성숙기업
(주)고영테크놀러지,98460,2018,279059436,53192797,225866639,238208865,148872158,45983316,42309672,227563739,40471875,196165395,31398344,87348349,15677316,0,0,0,33117594,0,0,562.2762449,484.6955942,23.55053284,0,62.49648098,19.30378032,17.76158583,15.16152709,21.85508325,2.985962662,0.983791805,14.62592041,4.85917762,23.4914046,26.46463136,44999013,-72061061,26904466,성장기업
(주)고영테크놀러지,98460,2019,305481184,61812656,243668528,222057035,141192030,33331312,29559680,225797248,38413935,189465720,36331529,85250616,13515704,0,0,0,37283940,0,0,587.8003594,493.2213271,25.3675173,0,63.58367795,15.01024816,13.31175119,9.676432313,12.59103985,2.573098106,0.759765968,-7.273730373,-37.95831379,11.1746398,8.649222729,26124765,-6674843,-16157867,우량기업
(주)고영테크놀러지,98460,2020,302574461,56516358,246058103,179545134,113122659,15842903,9161038,193413612,31177646,157041378,36372234,64550899,11721541,0,1071314,0,35810840,0,0,620.359895,503.6986372,22.96870427,1071314,63.00513775,8.823911095,5.102359388,3.02769704,3.741286432,2.397107052,0.590554945,-23.67755675,-110.3863919,-4.113558911,-0.960663696,37199067,-7325632,-12072566,우량기업
(주)고영테크놀러지,98460,2021,368329267,87929905,280399362,247301342,157211429,41351275,39586269,272142027,47498159,229682582,42459445,79212591,14032163,0,6133000,0,39712311,0,0,572.9527896,483.5610197,31.35881065,6133000,63.57079494,16.72100712,16.00730052,10.747522,15.03873404,3.440391465,0.737218566,27.39823709,61.68702658,9.824336337,17.85218061,43040625,-13537228,-5830531,우량기업
(주)골드앤에스,35290,2017,17173934,3827858,13346076,12802035,4799349,-3694041,-7975875,10831000,3198537,9773531,1057469,6452974,218963,1550000,0,0,338535,0,0,338.6235645,305.5625431,28.68152407,1550000,37.4889539,-28.8551078,-62.30161845,-46.44174713,-5.430467315,0.298884038,0.06641727,-1831.734619,1219.404874,-11630.63671,-2044.699444,-940910,-5268662,7871374,스타트업
