기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,유동비율,당좌비율,부채비율,차입금의존도,이자보상배율,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율
(주)고려시멘트,198440,2017,115881620,38487512,77394108,87660276,11685674,3017621,1003761,38542950,23125664,35213009,3329941,30481250,5866237,5200000,2285714,1500000,47901220,0,166.6674306,152.2680992,49.72925329,7485715.294,inf,13.33063793,3.442404174,1.145057996,0.866195174,1.894108271,3.710069597,1.1137135,49.62010957,36.49228979,87.00996551,64.15464679
(주)고려시멘트,198440,2018,127536833,41025871,86510962,85775723,12667611,3837563,4645869,49955334,29601570,45712347,4242987,32476313,4413490,11800000,914286,0,48776544,0,168.7590692,154.4254139,47.4227428,12714286,inf,14.76829405,4.473950048,5.416298269,3.642766478,5.66897534,2.724874309,0.704759413,-2.197070376,21.36621601,1.794559287,9.138703483
(주)고려시멘트,198440,2019,127035573,38590195,88445378,70921781,5322291,-459627,3396444,46591282,27999091,39649082,6942200,25700956,3352457,11160000,0,0,51139394,0,166.4028379,141.6084615,43.63166948,11160000,#NAME?,7.504451982,-0.648075942,4.78899987,2.673616468,3.882618944,2.438126857,0.55718357,-20.9441187,934.9298453,4.620410637,-0.39458239
(주)고려시멘트,198440,2020,115337527,22975393,92362134,70182711,8144784,4280746,4445204,38514127,10466720,35032439,3481688,24896212,3016057,0,0,0,50657764,0,367.9674912,334.7031257,24.87533798,0,inf,11.60511454,6.099430955,6.333759321,3.854082982,4.917056765,2.774175464,0.57912954,-1.053065619,110.7370771,-0.950752584,-10.14244566
(주)고려시멘트,198440,2021,146783492,29632628,117150863,65672532,6603544,3697680,4638804,48415815,11415579,44211981,4203834,16961692,4985341,0,0,0,78075530,0,424.1205374,387.2951254,25.29441717,0,inf,10.05526024,5.630481858,7.063537614,3.160303612,4.42817779,3.137879622,0.501085584,-6.867679474,-15.76842777,35.11697711,21.42336619
(주)고바이오랩,348150,2020,55675224,1541278,54133946,4591485,2641995,-10213856,-56315205,54628500,208264,54522941,105559,2677529,0,0,0,0,293863,0,26230.40948,26179.72429,2.8471562,0,#NAME?,57.54118765,-222.4521261,-1226.513971,-101.1494898,-65.75621659,0.46758321,0.045357247,-1330.31137,136.202586,-26468.68337,-163.6423915
(주)고바이오랩,348150,2021,100242225,12856891,87385334,2893329,1909085,-11047248,-17475045,93165360,4999968,92909148,256212,199204,0,0,0,7632558,5736568,0,1863.319125,1858.194852,14.71287047,7.614114711,#NAME?,65.98229928,-381.817899,-603.9771143,-17.43281836,-24.69634526,2.011538089,0.037113601,-58.69211555,7.543887853,94.87737267,44.45930944
(주)고영테크놀러지,98460,2017,205696350,40860118,164836232,188934907,115295604,45513084,28907302,159374622,29687984,146624845,12749777,103464560,14022036,0,0,0,24158929,0,536.8320799,493.8861628,24.7883111,0,inf,61.02398219,24.08929336,15.30013826,14.05338597,22.92214933,3.645148501,1.235116605,98.46861067,124.2726861,76.25487454,51.26689171
(주)고영테크놀러지,98460,2018,279985447,50714272,229271175,219818022,131724819,46196834,42430216,231667150,38506988,212179846,19487304,107503723,14095316,0,0,0,32377941,0,601.6236585,551.01647,22.11977672,0,inf,59.92448563,21.01594473,19.30242826,15.15443622,21.53231086,2.083896393,0.905193579,14.04940083,1.480079782,25.38460367,26.53319942
(주)고영테크놀러지,98460,2019,308020011,55999383,252020628,209480760,127878419,40057965,34702997,229213476,34506180,207875279,21338197,111177420,11824330,0,0,0,35418136,0,664.2678964,602.4291272,22.2201585,0,inf,61.04542441,19.12250318,16.56619777,11.26647483,14.42077209,1.915855726,0.712512978,-4.93470713,-15.32496471,8.583723887,9.101539835
(주)고영테크놀러지,98460,2020,303115486,50452865,252662621,157077647,93756551,13572990,7447169,201321695,28141120,177907405,23414289,92140984,10828396,0,0,0,34080163,0,715.4004354,632.1973148,19.96847211,0,inf,59.68802869,8.640943036,4.741074967,2.456875133,2.951224957,1.545139485,0.514051786,-33.3612796,-195.1299971,-3.925958335,-1.618038413
(주)고영테크놀러지,98460,2021,366774976,81333736,285441240,230143517,141755592,43786021,38620523,278355427,42685321,250975563,27379864,106864246,11044442,0,6133000,0,38074056,0,652.1104222,587.9669102,28.49403821,6133000,inf,61.59443196,19.02552875,16.78106058,10.52975953,14.35430065,2.312939384,0.687107908,31.74795925,69.00154504,10.48980177,17.35655215
(주)골드앤에스,35290,2017,16994788,3890051,13104737,12802035,4581274,-3690116,-8062623,10974294,3260731,9916825,1057469,6452974,218963,1550000,0,0,336869,0,336.5593175,304.1288901,29.68431186,1550000,#NAME?,35.78551379,-28.82444861,-62.97922947,-47.4417392,-5.401260523,0.22595039,0.066717267,-1697.710419,1286.575734,-11202.33295,-2058.161526
(주)골드앤에스,35290,2018,42472631,28605618,13867013,8680452,4332185,-4559128,-4045846,21031370,27915835,19740687,1290682,4799709,89720,2000000,0,0,11191043,0,75.33849516,70.71501533,206.2853622,2000000,#NAME?,49.90736657,-52.52178112,-46.60870194,-9.52577202,-30.00061917,1.54282352,0.291939759,-47.48120259,19.06092569,96.98983374,59.98649577
(주)골드앤에스,35290,2019,16096170,21097263,-5001092,7642733,1349614,-7142117,-24883215,3910189,20965017,3412176,498013,4418864,111463,1900000,0,0,3722968,0,18.65101755,16.27556992,-421.8531273,1900000,#NAME?,17.65878777,-93.44977772,-325.5800641,-154.5909058,-561.3227323,1.658116283,0.260983079,-13.57785232,36.16559348,-200.59466,-163.8679326
(주)골드앤에스,35290,2020,20634172,6145524,14488649,4138760,3095848,-2343112,1635730,9045300,2103645,8681440,363860,1265192,132149,0,0,5000000,3594431,0,429.9822451,412.6856005,42.41612865,24.23164835,#NAME?,74.80134146,-56.61386502,39.52222405,7.927286833,34.48158467,1.456269959,0.225359187,-84.6623868,-204.8132996,-3.576004102,21.99265374
(주)골드앤에스,35290,2021,26144813,10878378,15266435,13506639,4651710,1355619,770698,12783254,3681167,12426758,356495,1717736,171247,0,0,5000000,3354873,0,347.2609094,337.5765892,71.25683239,19.12425229,inf,34.4401742,10.0366864,5.706067957,2.947804599,5.180277764,9.055960452,0.577466099,69.35758778,272.8444349,-7.140598169,21.07737776
(주)골드퍼시픽,38530,2017,26567967,21203473,5364494,5031439,3042558,937598,-965087,17215160,20748043,16670090,545070,10040030,631826,0,0,0,1297094,0,82.97245191,80.34536076,395.2557874,0,inf,60.47093088,18.63478818,-19.18113287,-3.632521073,-9.355729933,0.855849487,0.190900157,-168.4448525,-44.58424613,-158.6453256,1.592722544
(주)골드퍼시픽,38530,2018,37288362,17201663,20086698,5580994,4172170,-506241,-4380343,22006122,11654119,21198162,807960,9097306,105811,46122,5440000,0,83408,0,188.826989,181.8941612,85.63708679,5486122,#NAME?,74.7567548,-9.070803516,-78.48678927,-11.74721217,-34.4215155,0.583257147,0.17479846,9.846901824,285.2078358,-1455.119413,28.74997566
(주)골드퍼시픽,38530,2019,72945743,51876425,21069318,11323125,3293749,-3421041,-31603970,28455147,50456375,24906806,3548341,11971868,1568859,7000000,0,1130782,908909,0,56.39554368,49.36305075,246.2178652,7000001.55,#NAME?,29.08869239,-30.21286968,-279.109963,-43.32531098,-153.5812893,1.074852294,0.205437782,50.71153944,85.20213584,90.82328374,48.88205882
(주)골드퍼시픽,38530,2020,71420104,11682284,59737820,14335385,5460316,684966,-1498118,42322228,11547046,38820152,3502076,9530535,1032141,0,0,0,702972,0,366.5199567,336.1911956,19.55592621,0,inf,38.08977575,4.778148616,-10.45049017,-2.09761386,-3.707885311,1.333375158,0.198598011,21.01275969,599.4468339,-29.29519241,-2.136147828
(주)골드퍼시픽,38530,2021,87388934,24404597,62984337,8722064,1939199,-4780315,-19466291,64697401,24238409,61690444,3006957,5507264,655512,0,0,0,904569,0,266.9209889,254.5152365,38.74708882,0,#NAME?,22.23325809,-54.80715344,-223.184455,-22.27546453,-31.72416697,1.160018697,0.109843421,-64.35771395,114.3288884,22.28652541,18.27328618
(주)골프존,215000,2017,239011847,57616911,181394935,171859065,110150500,33528808,75544308,142686039,45867329,132462044,10223995,16542689,3390826,23333320,9166650,0,66800539,0,311.0842556,288.7938907,31.76324135,32499970,inf,64.09350592,19.50947889,43.95712731,31.60693035,61.82546284,15.58815704,1.053055477,94.92487405,114.2573366,98.64586572,63.43740484
(주)골프존,215000,2018,254578679,57141835,197436844,191571105,114386279,29085694,21663391,134088763,52508860,126088853,7999910,19652517,4098802,18333320,833330,0,81753994,0,255.3640719,240.1287192,28.94182962,19166650,inf,59.70956789,15.18271453,11.30827689,8.509507192,11.43694495,10.58544079,0.776234935,10.28967286,-15.27594287,18.29079445,6.114743018
(주)골프존,215000,2019,304860836,99331248,205529589,239051647,142587936,36199059,19704546,70491340,54396575,63057469,7433871,19050011,2799499,833330,0,0,110267389,0,129.5878279,115.9217635,48.32941499,833330,inf,59.6473347,15.14277749,8.242798679,6.463456001,9.7797456,12.35328333,0.854611234,19.86204345,19.65069037,25.85841132,16.49347868
(주)골프존,215000,2020,348043074,119465961,228577113,281031445,166769425,51582977,36329008,104804073,71161458,97039323,7764751,16009543,3819300,0,0,0,111534007,0,147.2764555,136.3650011,52.26505814,0,inf,59.34190923,18.35487733,12.92702601,10.43807813,16.73736334,16.03166116,0.860866172,14.9377583,29.82363348,1.135633906,12.40715337
(주)골프존,215000,2021,453214136,164517688,288696449,413298839,252310090,105538794,74185362,202809192,117928303,183314712,19494480,28621533,7064462,0,0,0,105418898,0,171.9766899,155.4459,56.98639127,0,inf,61.0478584,25.53571025,17.94956942,16.368722,28.68322197,18.52067555,1.031625885,32.00284673,51.12415535,-5.800771129,23.20560054
(주)골프존뉴딘홀딩스,121440,2017,536244772,56170310,480074463,23499543,22818357,-6824300,-21778628,46961353,37343445,46961354,0,1611931,0,9300000,16000000,0,92900686,0,125.7552778,125.7552805,11.70033283,25300000,#NAME?,97.1012798,-29.04013921,-92.67681503,-4.061322205,-5.665830395,1.554538574,0.047499786,-1658.752666,1646.514573,-13.47483268,15.48371944
