기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용
디와이씨(주),310870,2021,101318904,60949827,40369078,87268256,17103349,-430194,-1200063,49613189,34750708,17184553,32428637,11952695,10360198,11727154,20958576,580000,46930786,0
디와이씨(주),310870,2018,,,,,,,,,,,,,,,,,,
디와이씨(주),310870,2019,,,,,,,,,,,,,,,,,,
디와이씨(주),310870,2020,,,,,,,,,,,,,,,,,,
디와이피엔에프(주),104460,2018,134738160,83894496,50843664,107754170,24788096,14257770,11264870,88567634,76067756,88362499,205135,26734368,13165915,10000000,7350000,0,37226316,0
디와이피엔에프(주),104460,2017,93861008,39332128,54528881,89973463,10938289,3210146,-2675744,62372147,39122086,62240049,132098,23197094,20362316,8000000,0,0,12465145,0
디와이피엔에프(주),104460,2019,159266763,88632139,70634625,164600456,38162059,28257056,21230318,107579397,81018546,105283635,2295763,36230808,22574112,6000000,7043520,0,38176052,0
디와이피엔에프(주),104460,2020,152670798,60681216,91989582,207928648,45305052,31995295,24700615,85648454,45077216,85156062,492391,18513347,11134738,8000000,14618560,0,46828811,0
디와이피엔에프(주),104460,2021,164359368,66047008,98312361,99181394,18244748,5584222,6265969,66832526,29023297,66493837,338688,21888871,9505778,7000000,36253600,0,74548422,0
디젠스(주),113810,2021,62455241,42187630,20267611,49272064,4299148,-643575,26257,28176302,29964826,22260150,5916152,10578747,6945411,14620000,4720000,0,15581994,0
디젠스(주),113810,2020,63369699,42151861,21217838,49594018,4661979,-359909,-7563931,29714460,32091493,25863347,3851113,14388648,8193062,15405310,4520000,0,16033481,0
디젠스(주),113810,2019,70718569,41545229,29173340,39689484,7674433,2632887,2180337,27403356,33165676,23522448,3880907,13490690,6587147,20253021,2880000,0,21215698,0
디젠스(주),113810,2018,68891305,42291586,26599719,37236056,2939083,-2946957,-11854078,26823182,35769227,23524665,3298518,10831087,4531685,22181481,1965000,0,20793181,0
디젠스(주),113810,2017,84480512,52711873,31768639,54509376,4414093,-2735238,-5418655,25554694,41206189,20922406,4632288,14712870,7514275,23851390,1800000,3600000,28139738,0
디케이락(주),105740,2018,109270704,24544762,84725942,66504620,17554558,5879928,5600659,54132393,20013109,32031301,22101092,23513970,9213832,7000000,236300,0,48404284,0
디케이락(주),105740,2020,146789189,55188645,91600544,71190955,14816897,2742979,93221,72731858,35175712,46781633,25950225,22805115,7648772,17000000,119600,14325291,52480462,0
디케이락(주),105740,2017,99540146,22397191,77142955,53555421,11534132,1792484,485651,51152206,17740670,31137785,20014421,17526909,6669522,7000000,321300,0,42154338,0
디케이락(주),105740,2019,123740059,30829406,92910653,74368076,22608482,9836289,8496242,65560026,25825967,39187306,26372719,27846555,9801955,12000000,190000,0,50524551,0
디케이락(주),105740,2021,153536797,53852691,99684106,85357603,23070134,9704297,9538217,70641961,29096317,39455861,31186100,26497222,10965753,10000000,1576500,20000000,51610921,0
라온시큐어(주),42510,2020,44457716,15001333,29456383,28479792,12847672,-3432741,-12015774,24216234,13521593,24216234,0,11122281,5098098,0,0,0,2903076,0
라온시큐어(주),42510,2018,26825938,7335806,19490131,24537193,13841850,3963641,3736350,19043059,6710806,19043060,0,10177717,4694673,0,0,0,984218,0
라온시큐어(주),42510,2021,61208158,34693723,26514435,31447624,13869036,-1739072,-9001468,41583650,8858860,41583651,0,11258853,4772457,0,0,20000000,7410455,0
라온시큐어(주),42510,2017,20325288,4547468,15777820,21073046,12828437,3132426,3309444,13155180,3716135,13155180,0,5955284,1953688,0,183333,0,663977,0
라온시큐어(주),42510,2019,49454967,27998546,21456421,28319235,15556014,2113493,1966290,36735832,11624373,36735832,0,10930268,4963223,0,0,18000000,3217384,0
라온피플(주),300120,2019,65686253,2906560,62779693,30770552,21430023,8204511,8434788,62901048,2775745,60192855,2708193,5389641,1112214,0,0,0,301476,0
라온피플(주),300120,2020,62830062,5413653,57416409,15041930,9889373,-4113481,-4028372,59098336,4587728,54945478,4152858,2137965,756997,0,0,0,300018,0
라온피플(주),300120,2021,85343612,33382054,51961558,19581768,10933671,-6353568,-6175598,75342972,6728253,70751680,4591292,3272447,1487187,0,0,30000000,3436119,0
램테크놀러지(주),171010,2018,51898719,29175725,22722994,30891264,4254224,1804218,1281896,10359532,23240610,4373712,5985820,1911786,348116,22308451,4874400,0,28984957,0
램테크놀러지(주),171010,2017,51911958,30280692,21631266,23653471,2927467,1013453,860438,9631483,23104428,4242550,5388931,2288082,886972,18925496,6572160,0,30679184,0
램테크놀러지(주),171010,2020,67093057,25437298,41655759,40454039,5865624,1781969,1766671,19980833,15166547,13198450,6782384,2727670,393184,12255948,918880,10000000,33986297,0
램테크놀러지(주),171010,2019,70357034,31395203,38961831,41182157,7664758,4071307,2832213,29968383,19410783,22635312,7333071,2694009,812201,15455107,2756640,6384852,28057324,0
램테크놀러지(주),171010,2021,68948396,26279743,42668652,44080104,7175310,2156486,1052117,21063879,25282217,11673058,9390822,4082848,1226616,11183162,0,0,34241153,0
로스웰인터내셔널유한회사,900260,2021,,,,,,,,,,,,,,,,,,
로스웰인터내셔널유한회사,900260,2018,,,,,,,,,,,,,,,,,,
로스웰인터내셔널유한회사,900260,2020,,,,,,,,,,,,,,,,,,
로스웰인터내셔널유한회사,900260,2019,,,,,,,,,,,,,,,,,,
로스웰인터내셔널유한회사,900260,2017,,,,,,,,,,,,,,,,,,
