기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
GH신소재,2018,24534139106,55192674065,79726813171,34387932665,5525235866,39913168531,5500000000,23060585918,39813644640,65263334882,671067581,446484672,49.93758443,-5.481074898,-1.504754538,-0.866463026,0.005600182,0.00770815
GH신소재,2019,20363645232,59864374067,80228019299,29962547782,7371100721,37333648503,5500000000,25529370170,42894370796,67174274043,1624332881,2243506533,53.46557371,0.586865729,0.028447485,0.800988022,0.027964127,0.054251248
GH신소재,2020,23499071598,61734468939,85233540537,34050774061,7034724158,41085498219,5500000000,25457409891,44148042318,59517977230,851926063,51891560,51.79656041,-0.906659453,-0.128638391,-42.234517,0.000608816,0.001192328
GST,2018,54651818042,50375589509,1.05027E+11,17071169964,2148412301,19219582265,4658872500,69539162739,85807825286,1.2985E+11,10405764340,10303467732,81.70041258,0.91812941,0.541641226,0.99496368,0.098102657,0.158568719
GST,2019,88978443402,47773118236,1.36752E+11,31060761812,2380099307,33440861119,4658872500,87791080068,1.03311E+11,1.68232E+11,21908351650,17968415861,75.54626747,0.525032074,0.22814692,0.426578959,0.131394594,0.1900228
GST,2020,91827385605,50008150314,1.41836E+11,25004328733,3094262261,28098590994,4658872500,1.00747E+11,1.13737E+11,1.6688E+11,18150174131,15490968607,80.18931517,-0.207060136,-0.008097146,-0.159928492,0.109217824,0.142742563
HB솔루션,2020,51774573211,14239246303,66013819514,20390519937,226671933,20617191870,3554725000,33141021981,45396627644,21082359622,-1774164563,-2275306568,68.76836998,,,,-0.034467125,
HB테크놀러지,2018,1.23716E+11,1.2232E+11,2.46035E+11,44104136181,27378899602,71483035783,39495213000,55401400306,1.74552E+11,2.73911E+11,10167094463,8114958890,70.94603935,1.174500647,0.923032071,1.280384238,0.032982888,0.073789453
HB테크놀러지,2019,1.66887E+11,1.19223E+11,2.86111E+11,75723849818,25085694210,1.0081E+11,39495213000,57228301983,1.85301E+11,2.80566E+11,10102232601,5755801285,64.76555909,-0.006420547,0.023721462,-0.409874749,0.020117385,0.031989678
HB테크놀러지,2020,1.65055E+11,1.16371E+11,2.81426E+11,71407443564,6742977480,78150421044,39495213000,60153066152,2.03276E+11,2.74248E+11,4913572071,826876756,72.23058433,-1.055985433,-0.023038713,-5.960893801,0.002938165,0.004255921
HK이노엔,2018,,,,,,,,,,,,,,,,,,
HLB,2018,1.17127E+11,1.86914E+11,3.04041E+11,20917581275,73599661297,94517242572,19587412500,39618350483,2.09524E+11,36185983416,-29315170102,13520304124,68.91297178,,,,0.04446872,
