기업,연도,유동자산,재고자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,단기차익금,장기차익금,사채,이익잉여금,자본총계,매출액,영업이익,당기순이익,매출채권,이자의 수취,이자의 지급,매출총이익,유형자산,무형자산,영업비용,영업수익,순이자손익,유동비율,부채비율,영업이익률,당기순이익률,ROA,ROE,매출액증가율,영업이익증가율,총자산증가율
002230,2016,100943088057.0,,44655730873.0,145598818930.0,7323413473.0,7353633143.0,14677046616.0,9378191000.0,,,,106576132785.0,130921772314.0,50707843091.0,4502440337.0,4443465687.0,,,,,,,,,,1378.3611758254197,11.210546845332098,8.879179358743276,8.762876541654084,0.030518555848562886,0.032292581349362845,-0.10593316569115516,-0.9720158319557095,0.055472159584502204
002230,2017,105530713547.0,,55329581592.0,160860295139.0,15434366287.0,1147299010.0,16581665297.0,9834621500.0,,,,116528170874.0,144278629842.0,70833778535.0,8117612892.0,11324747505.0,,,,,,,,,,683.7385583876289,11.492807573206536,11.460087348000176,15.987778344203788,0.07040113593733147,0.09128302039346346,0.28412906751904365,0.4453492181873804,0.09487410299609671
002230,2018,109933911730.0,,54311956794.0,164245868524.0,6851570036.0,14145102746.0,20996672782.0,9834621500.0,,,,115715572189.0,143249195742.0,61651717281.0,-1281022364.0,-313610184.0,,,,,,,,,,1604.5068670739336,14.657445490874663,-2.07783727768892,-0.5086803706871751,-0.0019093946582539123,-0.0021897212865741498,-0.14893439564950697,7.336823712158081,0.020612837421266957
002230,2019,106629392417.0,,61965955870.0,168595348287.0,18275155195.0,7130940322.0,25406095517.0,9834621500.0,,,,116734369652.0,143189252770.0,50670722780.0,-1739809622.0,2533315393.0,,,,,,,,,,583.4664126199777,17.74301843575435,-3.433559907076581,4.999564351981008,0.015026010021863326,0.018137987270790638,-0.21671280570985374,0.2636996900112557,0.025798337897175415
002230,2020,103165711794.0,,52505142512.0,155670854306.0,7719543418.0,11802470056.0,19522013474.0,9834621500.0,,,,114454911554.0,136148840832.0,53223265070.0,-598328914.0,434127253.0,,,,,,,,,,1336.422456714784,14.338729110510068,-1.1241867878888474,0.8156719668156953,0.0027887510153097907,0.0032943429532869234,0.04795914505889219,-1.9077812910107834,-0.08302449446056552
002290,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002290,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002290,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002290,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002290,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002290,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002680,2015,61260054708.0,,68245619902.0,129505674610.0,76469414640.0,8229504294.0,84698918934.0,10400000000.0,,,,-934091535.0,44806755676.0,125248626754.0,1510919075.0,-1722842237.0,,,,,,,,,,80.11053176802506,189.03158163572996,1.206335841084778,-1.3755378255634076,-0.013303218119115282,-0.038074563772783156,,,
