기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
씨유메디칼,2019,1.29281E+11,73711592975,55569322561,27931458918,966923816,-2944322122,42.98339189,-1.559128088,-1.928388002,0,-0.022774608,-0.052984668
씨유메디칼,2020,81660017873,35767029445,45892988428,28318709009,-2741964702,-25579114528,56.2000715,1.352639046,0.013674709,0.884893509,-0.313239149,-0.504209184
씨유메디칼,2021,72840957215,23821574751,49019382464,35402267064,7184031902,-14141200708,67.29645565,1.381674906,0.200087696,-0.808836113,-0.194138041,-0.297984353
씨유테크,2017,,,,,,,,,,,,
씨유테크,2018,,,,,,,,,,,,
씨유테크,2019,1.0511E+11,47458364794,57651804204,3.22262E+11,23599530241,17153675756,54.84893113,,,,0.163197109,
씨유테크,2020,93251683842,30826035726,62425648116,2.21698E+11,16091415226,10598485756,66.94318595,-0.466591341,-0.453607164,-0.618502506,0.113654631,0.176527492
씨유테크,2021,1.36793E+11,35296499651,1.01497E+11,2.63845E+11,19896187024,15305635633,74.19714964,0.191231204,0.159742285,0.307543573,0.111889006,0.186742712
씨이랩,2017,,,,,,,,,,,,
씨이랩,2018,4933662110,3439172411,1494489699,0,0,0,30.29169136,,,,0,
씨이랩,2019,6338022355,4782254659,1555767696,7089206897,260439397,61535172,24.5465795,1,1,1,0.009708892,0.040347527
씨이랩,2020,11861324332,8742978956,3118345376,11162209380,689912920,699572374,26.29002706,0.622503957,0.364892141,0.912038876,0.05897928,0.299339089
씨이랩,2021,31357987453,6829452044,24528535409,5777875740,-2006225746,-2135629303,78.22101289,1.343885987,-0.931888099,1.327572006,-0.068104795,-0.154493327
씨젠,2017,1.56754E+11,39493222802,1.17261E+11,0,0,0,74.80559418,inf,#NAME?,inf,0,0
씨젠,2018,1.63806E+11,35449567140,1.28356E+11,1.02265E+11,10624759507,10711351009,78.35881085,1,1,1,0.065390466,0.087219895
