기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
우리산업홀딩스,2020,2.02E+11,2.03E+11,4.05E+11,1.53E+11,29234400154,1.82E+11,9443670500,32401063730,2.23E+11,3.55E+11,11765809059,2579032853
우리산업홀딩스,2019,1.95E+11,2.00E+11,3.95E+11,1.44E+11,28701506164,1.73E+11,9443670500,30779364715,2.22E+11,3.78E+11,7395947153,3286284853
우리산업홀딩스,2018,1.99E+11,1.90E+11,3.90E+11,1.50E+11,17882636911,1.68E+11,9443670500,30583368963,2.22E+11,3.87E+11,12248595889,6572820648
우리손에프앤지,2017,96226263496,1.94E+11,2.90E+11,78056521373,48254948245,1.26E+11,34618821500,1.01E+11,1.64E+11,2.10E+11,41422809186,27503927600
우리손에프앤지,2020,1.74E+11,2.38E+11,4.12E+11,1.39E+11,62013740145,2.01E+11,34618821500,1.51E+11,2.11E+11,2.37E+11,32221236896,23802889375
우리손에프앤지,2019,1.28E+11,2.43E+11,3.71E+11,1.46E+11,36777971459,1.83E+11,34618821500,1.30E+11,1.88E+11,2.25E+11,10166911192,4276231434
우리손에프앤지,2018,1.21E+11,2.35E+11,3.56E+11,1.26E+11,46267222160,1.72E+11,34618821500,1.27E+11,1.84E+11,2.37E+11,20302159058,27404281101
우리엔터프라이즈,2017,4.03E+11,2.80E+11,6.83E+11,4.43E+11,44265217359,4.87E+11,12461673000,-13744578979,1.95E+11,1.50E+12,-3720541761,-23280042465
우리엔터프라이즈,2020,4.87E+11,2.26E+11,7.12E+11,4.72E+11,55267296701,5.28E+11,12461673000,-17311380049,1.85E+11,1.65E+12,40291951281,17325186172
우리엔터프라이즈,2019,3.88E+11,2.87E+11,6.75E+11,4.50E+11,60256647132,5.10E+11,12461673000,-29379022238,1.65E+11,1.70E+12,27093730521,5398647998
우리엔터프라이즈,2018,4.02E+11,2.75E+11,6.77E+11,4.55E+11,62478299163,5.18E+11,12461673000,-26602989359,1.59E+11,1.30E+12,-11855233069,-35260613388
우리이앤엘,2017,1.01E+11,27476294112,1.28E+11,73324493301,644116829,73968610130,24950000000,-31853507703,54046584421,1.59E+11,-6810305192,-29064516282
우리이앤엘,2020,97177940544,12657615416,1.10E+11,48812331278,935379207,49747710485,24950000000,-27112293883,60087845475,1.22E+11,3375350081,-1523818558
우리이앤엘,2019,83675535442,14328389761,98003925203,36163497361,790991580,36954488941,24950000000,-25481947617,61049436262,1.33E+11,3561362980,4835988140
우리이앤엘,2018,1.05E+11,17640084053,1.23E+11,63682413169,3069823105,66752236274,24950000000,-29917535526,56097045208,1.43E+11,4562749658,2013220698
우림피티에스,2017,36199717432,59129844362,95329561794,9539797765,921618047,10461415812,6750000000,62174777285,84868145982,54162141978,-1833428014,-2010088781
우림피티에스,2020,41201203164,48629342405,89830545569,10216888090,432150937,10649039027,6750000000,56429699246,79181506542,60109607901,753173903,-7957705959
우림피티에스,2019,41027000781,57182178479,98209179260,9187526884,2240848765,11428375649,6750000000,63957317013,86780803611,55506684673,-1266370842,-666571490
우림피티에스,2018,38086767312,59532832054,97619599366,7772862946,1454437081,9227300027,6750000000,65601830580,88392299339,64315381740,2143660016,4223544859
우수AMS,2017,69419599283,87722643889,1.57E+11,86245622413,11705549075,97951171488,12347151500,34316529903,59191071684,2.28E+11,2768531373,4966224837
우수AMS,2020,81696590217,1.64E+11,2.46E+11,1.39E+11,19891768196,1.59E+11,17689700000,27737658386,86211013032,2.29E+11,-6100654317,-7759251202
우수AMS,2019,68345875790,1.13E+11,1.81E+11,1.07E+11,13316618475,1.21E+11,12347151500,35331455950,60311882223,2.53E+11,2889225159,282042677
우수AMS,2018,71902710887,92958707695,1.65E+11,96261277580,9036800560,1.05E+11,12347151500,34971490586,59563340442,2.44E+11,4581592786,1465822946
우양,2018,,,,,,,,,,,,
우원개발,2018,,,,,,,,,,,,
우정바이오,2017,19916295544,11482538790,31398834334,10983161855,2091235533,13074397388,2169744300,984222841,18324436946,28932072544,-2362488448,-6921451063
우정바이오,2020,28249608985,41566415271,69816024256,22581172990,19203407005,41784579995,6046463000,-14653680132,28031444261,37343959598,-5302335919,-10878582610
우정바이오,2019,33457012366,24174933920,57631946286,27992226321,2979010580,30971236901,5306755500,-3458109766,26660709385,32290407902,642324387,279587323
우정바이오,2018,29076421384,15712898391,44789319775,8947816412,15284771428,24232587840,2510971100,-4008375553,20556731935,23758076022,-3156534282,-4617252501
우주일렉트로,2017,1.48E+11,86897083328,2.35E+11,53629951166,0,53629951166,,1.67E+11,1.81E+11,2.08E+11,9368358489,10545167636
우주일렉트로,2020,1.57E+11,1.05E+11,2.62E+11,63738655983,802646486,64541302469,,1.86E+11,1.98E+11,1.96E+11,17358713475,12901590262
우주일렉트로,2019,1.48E+11,1.03E+11,2.52E+11,61146552931,770936271,61917489202,,1.76E+11,1.90E+11,1.91E+11,15876659308,11787370553
우주일렉트로,2018,1.45E+11,87051371393,2.32E+11,52144828631,0,52144828631,,1.65E+11,1.80E+11,1.87E+11,729209942,472800064
우진비앤지,2017,14202880179,46435010777,60637890956,24746596781,12851989814,37598586595,5995648000,8280618627,23039304361,22933552769,-3414310268,-4190242470
우진비앤지,2020,28672763667,48887903564,77560667231,25726537535,9824006913,35550544448,13796699000,-13371061221,42010122783,39524380436,663487705,-896105936
우진비앤지,2019,46839409234,38293028573,85132437807,30783799378,15646042560,46429841938,12983506500,-11348957987,38702595869,32558897998,2023604636,-13551503700
우진비앤지,2018,16496944887,43552011903,60048956790,21394010239,12142318482,33536328721,8108506500,1699612145,26512628069,30621030841,-4798954863,-6632215498
원바이오젠,2018,,,,,,,,,,,,
원방테크,2020,1.26E+11,1.12E+11,2.37E+11,54418511761,47437960483,1.02E+11,2147071500,1.20E+11,1.36E+11,3.27E+11,21666488653,13657228794
원방테크,2019,98888288800,97797213268,1.97E+11,43356468591,53192016675,96548485266,1945456000,1.07E+11,1.00E+11,2.28E+11,19320080544,14267493828
원방테크,2018,1.04E+11,49630231307,1.53E+11,31154127894,6842408191,37996536085,2511964000,93455886260,1.15E+11,1.60E+11,19116446587,16196509296
원익,2017,23971340895,2.04E+11,2.28E+11,67269534102,35020282274,1.02E+11,6317216000,95670319218,1.26E+11,67244201717,424264163,14780454555
원익,2020,28196323662,2.54E+11,2.82E+11,49659565461,45869447824,95529013285,9096615000,1.41E+11,1.87E+11,87494407981,4563928832,79346983333
원익,2019,32338646540,1.47E+11,1.80E+11,47867285333,26520380933,74387666266,9096615000,61249459797,1.05E+11,90386053168,4156118360,36826307888
원익,2018,28282446803,1.06E+11,1.34E+11,52792931904,13562870777,66355802681,8967216000,24994937802,67992972203,80295122925,2784618081,-67931179996
원익IPS,2017,2.80E+11,1.30E+11,4.10E+11,81536939874,14612789307,96149729181,20636718000,1.18E+11,3.13E+11,6.31E+11,1.22E+11,95364580825
원익IPS,2020,6.57E+11,4.43E+11,1.10E+12,4.30E+11,6762204150,4.37E+11,24541950500,3.04E+11,6.63E+11,1.09E+12,1.41E+11,97818821139
원익IPS,2019,5.53E+11,3.46E+11,8.99E+11,3.27E+11,5560060732,3.33E+11,24541950500,2.08E+11,5.67E+11,6.69E+11,41116029608,42862674126
원익IPS,2018,3.32E+11,1.81E+11,5.12E+11,1.24E+11,19162792088,1.43E+11,20636718000,1.74E+11,3.69E+11,6.49E+11,1.06E+11,86860388555
