기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
YTN,2020,72494059767,2.26E+11,2.98E+11,22878621258,83452217687,1.06E+11,42000000000,74921837022,1.92E+11,1.33E+11,2671990470,7999188999
YTN,2019,53940467544,2.28E+11,2.82E+11,18936738746,77779954604,96716693350,42000000000,68466685764,1.85E+11,1.31E+11,491889398,-3308954951
YTN,2018,41909767541,2.44E+11,2.86E+11,27360185190,70486386877,97846572067,42000000000,73050954712,1.88E+11,1.32E+11,862143078,690807090
YW,2017,54010235237,47055672277,1.01E+11,19681497587,11394695075,31076192662,5677684000,59294980068,69989714852,26435739800,4209072769,2855013356
YW,2020,73778143525,40865703860,1.15E+11,28109264760,13902621809,42011886569,5677684000,64316090212,72631960816,16652185746,3626742731,3269453929
YW,2019,67643376858,44769839711,1.12E+11,17510413134,23687399739,41197812873,5677684000,61489678752,71215403696,19220153574,2753403099,1979112255
YW,2018,60261842771,47946693961,1.08E+11,12839174275,24705175842,37544350117,5677684000,60468631805,70664186615,29376114878,3275618923,2159494648
iMBC,2017,22617763409,42788529170,65406292579,12665411752,355149630,13020561382,11500000000,31822493479,52385731197,57402131582,143550023,-175504055
iMBC,2020,17089893367,52442779871,69532673238,11221614061,3016038924,14237652985,11500000000,33414496318,55295020253,43731791255,1118515098,1299529747
iMBC,2019,20894573521,45715430668,66610004189,11960190474,1212981667,13173172141,11500000000,32166168640,53436832048,51552466253,1726915616,2274106063
iMBC,2018,30429694408,32003327477,62433021885,10818808649,357235891,11176044540,11500000000,30129172055,51256977345,58074993049,937817261,-1603631587
가비아,2017,66113388403,67269195724,1.33E+11,29400832657,4085231391,33486064048,6767842000,52864813223,99896520079,1.16E+11,12712156497,9669612875
가비아,2020,1.24E+11,1.36E+11,2.60E+11,50679127220,36142501910,86821629130,6767842000,82170074615,1.73E+11,1.69E+11,28545231683,23751738590
가비아,2019,86880806518,1.13E+11,2.00E+11,43098922612,21858069974,64956992586,6767842000,70637536204,1.35E+11,1.48E+11,23736595830,21102389636
가비아,2018,78058272049,73382232979,1.51E+11,29792808676,7460206190,37253014866,6767842000,60204840726,1.14E+11,1.29E+11,18188448866,15340647241
가온미디어,2017,2.38E+11,29233504082,2.67E+11,1.28E+11,16261620734,1.44E+11,6704115000,73479354592,1.23E+11,5.28E+11,21036106060,6177781269
가온미디어,2020,2.92E+11,38905883333,3.31E+11,1.50E+11,22094850162,1.72E+11,7537147500,94933559962,1.58E+11,4.83E+11,9262959551,1996606422
가온미디어,2019,2.77E+11,31029941113,3.08E+11,1.13E+11,38422614687,1.52E+11,7392293500,93599467261,1.56E+11,6.01E+11,29092560225,17797830006
가온미디어,2018,2.96E+11,29766364907,3.26E+11,1.84E+11,3941634600,1.88E+11,7257400500,77055305811,1.38E+11,6.10E+11,9348040080,5173366504
감성코퍼레이션,2017,7558235325,9319413078,20440705925,4827129247,1213634435,10791818869,13873267000,5644813997,9648887056,14828772472,14732709,-3061247330
감성코퍼레이션,2020,20728917973,15897075776,36625993749,10793405841,2225637802,13019043643,34555682000,-18934648035,23606950106,16441421210,-5125926310,-5017392639
감성코퍼레이션,2019,24457937071,14763507251,39221444322,22452151244,373218763,22886440933,28410581000,-6937582631,16335003389,7392645650,-1421973095,-5950124110
감성코퍼레이션,2018,6277699745,8413660482,16450113666,938609944,1790880746,6017605940,19728171000,-1328267809,10432507726,8920927862,-1872570573,-6783528076
강스템바이오텍,2017,25246011811,21952966802,47198978613,6368373558,16348442369,22716815927,8125856000,-35794122335,24482162686,9132938908,-11737865221,-11531948824
강스템바이오텍,2020,44750598843,37754688371,82505287214,12206139883,21660276085,33866415968,12688329000,-95669708452,48638871246,9137898290,-18725364550,-19745798550
강스템바이오텍,2019,55408094623,58235602200,1.14E+11,20598773928,24325686481,44924460409,12044685500,-77231627000,68719236414,6004583565,-23153708426,-26394471529
강스템바이오텍,2018,48992789806,24201228015,73194017821,20056267170,5556376955,25612644125,10412468500,-52360504337,47581373696,9165454310,-11693968717,-14294031834
강원에너지,2017,68068421036,25110973136,93179394172,33693980284,11182403996,44876384280,7626515000,22544373987,48303009892,82034829154,-5588511926,-6451819345
강원에너지,2020,21492517267,11476118390,32968635657,12436158036,3436139713,15872297749,9077455500,-12674852460,17096337908,38345165674,-9226307671,-12874762618
강원에너지,2019,30544231627,25756187835,56300419462,31166464213,4311042142,35477506355,8721837000,-8343776149,20822913107,42549621578,-17175963153,-35949081053
강원에너지,2018,70556730098,23288845950,93845576048,43608244326,33624445,43641868771,7683448000,25306877755,50203707277,85905365198,341328816,1708886951
갤럭시아머니트리,2017,1.55E+11,28604590375,1.83E+11,1.10E+11,8898710000,1.19E+11,17414919000,7381139166,64403110654,69129594333,3975934920,3072893474
갤럭시아머니트리,2020,2.16E+11,46112315960,2.62E+11,1.58E+11,12275279888,1.70E+11,19614919000,19427381740,91973747081,81230421178,7734368598,4487483700
갤럭시아머니트리,2019,1.93E+11,47500894734,2.40E+11,1.25E+11,23875760596,1.49E+11,19614919000,18368327381,91365268692,85556493534,8650299880,8838255285
갤럭시아머니트리,2018,1.92E+11,38089803795,2.30E+11,1.42E+11,3905470000,1.46E+11,19614919000,10837938095,83600833167,81383390831,7480810112,4824907880
경남스틸,2017,1.03E+11,44733835282,1.48E+11,60760495605,6271545273,67032040878,2500000000,75856900351,81055511386,2.87E+11,6571954177,4254725593
경남스틸,2020,83465208170,55246281828,1.39E+11,47094093051,3620432011,50714525062,2500000000,82783531821,87996964936,2.98E+11,5268075535,2976949512
경남스틸,2019,90436330806,51490359816,1.42E+11,51273832225,3470379768,54744211993,2500000000,81977969403,87182478629,3.18E+11,6061217705,4638327702
경남스틸,2018,91540657531,50188413908,1.42E+11,44081663789,13145707144,57227370933,2500000000,79308429936,84501700506,2.75E+11,6259461780,5376211415
경남제약,2018,,,,,,,,,,,,
경동제약,2017,1.10E+11,1.41E+11,2.51E+11,29908481576,2170902935,32079384511,13575000000,2.14E+11,2.19E+11,1.78E+11,30909023936,20226268009
경동제약,2020,1.10E+11,1.82E+11,2.91E+11,25998644441,2633082030,28631726471,15684383000,2.27E+11,2.63E+11,1.74E+11,18950289227,12872620256
경동제약,2019,1.42E+11,1.45E+11,2.88E+11,23148224476,29573959349,52722183825,13575000000,2.21E+11,2.35E+11,1.77E+11,24552346121,22830839294
경동제약,2018,1.26E+11,1.32E+11,2.58E+11,39415220419,596765634,40011986053,13575000000,2.09E+11,2.18E+11,1.79E+11,20378129190,5318405675
경창산업,2017,1.80E+11,4.87E+11,6.67E+11,3.20E+11,1.56E+11,4.77E+11,8780000000,70697404187,1.91E+11,5.50E+11,-2690809480,-24335835810
경창산업,2020,1.64E+11,3.58E+11,5.22E+11,2.73E+11,1.50E+11,4.23E+11,17909502500,-6693837595,99178714315,4.86E+11,13865840899,4607253455
경창산업,2019,1.81E+11,3.84E+11,5.65E+11,3.15E+11,1.58E+11,4.72E+11,17909502500,-13344820793,92410751135,5.31E+11,-15182393131,-76529122780
경창산업,2018,1.76E+11,4.62E+11,6.38E+11,2.95E+11,1.80E+11,4.75E+11,17909502500,37929031565,1.63E+11,5.96E+11,16505342395,-26617168396
고려시멘트,2018,,,,,,,,,,,,
고려신용정보,2017,15072715971,12094931889,27167647860,9794427089,63238566,9857665655,7150000000,8294580495,17309982205,87786992996,4989049057,3582646295
고려신용정보,2020,25434410888,44913673319,70348084207,29565546253,11593037601,41158583854,7150000000,20174098643,29189500353,1.33E+11,9993294320,10292778540
고려신용정보,2019,19953010260,28776757562,48729767822,18366836264,7814142089,26180978353,7150000000,13533387759,22548789469,1.16E+11,8075240099,6621134614
고려신용정보,2018,18671999461,14298957479,32970956940,12549482343,1266416023,13815898366,7150000000,10139656864,19155058574,1.04E+11,7324008276,4673849212
고려제약,2017,48730385368,18063649544,66794034912,8602422930,1218429300,9820852230,5500000000,48455675056,56973182682,55402563119,5298765394,4683288211
고려제약,2020,62955563792,20389193686,83344757478,9771195397,2702770789,12473966186,5500000000,62487924833,70870791292,66789304915,11039327372,7359653746
고려제약,2019,52726575702,23122925073,75849500775,8576682718,2223105570,10799788288,5500000000,56635909023,65049712487,55529401853,3416383426,3895308944
고려제약,2018,50934707103,22027350558,72962057661,6561257043,3601304602,10162561645,5500000000,54306998394,62799496016,52027666944,3527000191,6562473404
고바이오랩,2020,57809840432,727256206,58537096638,3089323222,57099320,3146422542,7759253000,-1.12E+11,55390674096,4591484668,-12344974086,-55072387373
고바이오랩,2019,34655204125,666369984,35321574109,88868084175,77355292,88945439467,3549300000,-56598793295,-53623865358,576519070,-7351898659,-44066664922
고바이오랩,2018,8897127711,389207773,9286335484,21164230445,0,21164230445,114750000,-12532128373,-11877894961,64162367,-2353458937,-8382369046
고영,2018,,,,,,,,,,,,
골드앤에스,2017,10830999896,6342933729,17173933625,3198537312,629320237,3827857549,11086937500,-24239176737,13346076076,12802035454,-3694041054,
골드앤에스,2020,9045299887,11588872466,20634172353,2194126157,4041878348,6236004505,18111955000,-52886698849,14398167848,4138760424,-2343111573,1635729853
골드앤에스,2019,3910188712,12185981459,16096170171,21055498032,132245440,21187743472,1285068500,-54531706385,-5091573301,7642733090,-7142116564,-24883278405
골드앤에스,2018,21097360361,20172094034,41269454395,28003279315,689782710,28693062025,11380623500,-29704550662,12576392370,8680451703,-4406484073,-5583575678
골드퍼시픽,2017,17215160015,9352806591,26567966606,20748042511,455430558,21203473069,3327856500,-30966594527,5364493537,5031439410,937597730,-965086854
골드퍼시픽,2020,42322227986,29097876115,71420104101,11547045665,135238078,11682283743,33098622500,-3569177165,59737820358,14335384635,684965970,-1498117901
골드퍼시픽,2019,28455147194,44490596257,72945743451,50456374672,1420050780,51876425452,16929479500,-36661189194,21069317999,11323125410,-3421041185,-31603970066
골드퍼시픽,2018,23990385748,13835056111,37825441859,12191199271,5547544285,17738743556,8568172000,-5057219128,20086698303,5708281074,-904003353,-4471962716
골든센츄리,2017,475583810,375718840,851302650,163649858,0,163649858,37868899,451458437,687652792,633675366,156629415,114265312
골든센츄리,2020,1096400046,482103305,1578503351,160769956,213309,160983265,210481441,796475890,1417520086,751445166,173083444,115079867
골든센츄리,2019,888368662,510960476,1399329138,93076286,1030331,94106617,210481441,692339419,1305222521,671161594,174781691,128821612
골든센츄리,2018,634512562,537859313,1172371875,124004881,0,124004881,118549315,570892316,1048366994,530659258,150335539,127527454
골프존,2017,1.61E+11,93080528703,2.54E+11,51918380742,12372156965,64290537707,3137707500,1.17E+11,1.89E+11,2.00E+11,37457576739,79392003923
골프존,2020,1.18E+11,2.49E+11,3.67E+11,80881888778,60841086147,1.42E+11,3137707500,1.53E+11,2.26E+11,2.99E+11,51572914217,37497361119
골프존,2019,81730468317,2.31E+11,3.13E+11,61066133672,51478269901,1.13E+11,3137707500,1.27E+11,2.00E+11,2.47E+11,32297494216,16213887662
골프존,2018,1.45E+11,1.09E+11,2.54E+11,54339957094,4798289043,59138246137,3137707500,1.23E+11,1.95E+11,1.99E+11,28160266178,20419448832
골프존뉴딘홀딩스,2017,1.17E+11,6.39E+11,7.57E+11,1.21E+11,1.35E+11,2.56E+11,21418409000,1.92E+11,5.01E+11,2.14E+11,18422624657,-21585123459
골프존뉴딘홀딩스,2020,1.57E+11,6.39E+11,7.96E+11,83530767400,2.43E+11,3.26E+11,21418409000,1.70E+11,4.69E+11,2.92E+11,29999993909,28481671520
골프존뉴딘홀딩스,2019,1.26E+11,6.51E+11,7.76E+11,85327311819,2.48E+11,3.33E+11,21418409000,1.46E+11,4.43E+11,2.29E+11,-3625435559,-34095599901
골프존뉴딘홀딩스,2018,99968915234,6.75E+11,7.75E+11,2.09E+11,84147258796,2.93E+11,21418409000,1.83E+11,4.81E+11,2.23E+11,1114231256,-7527389970
공구우먼,2018,,,,,,,,,,,,
광림,2018,,,,,,,,,,,,
광무,2017,14949942190,14000561121,28950503311,13555843832,1842484861,15398328693,15951861500,-7683684869,13552174618,21540953041,199524810,-3352682062
광무,2020,15351707786,23273442738,38625150524,11735791980,2667378040,14403170020,7966577600,-18803488622,24221980504,25175822946,-3573278957,-19325974127
광무,2019,39307760743,23832076382,63139837125,36140359855,4155355149,40295715004,6085528500,-12004089251,22844122121,26086172660,-2620988582,-6421201259
광무,2018,17301470442,11130277780,28431748222,14986294353,2716237726,17702532079,16397642500,-12591730062,10729216143,21379616832,-826775246,-5120760027
광진실업,2017,20392854221,18443517648,38836371869,9841571518,15217455,9856788973,3202702500,24209234388,28979582896,42494221290,760612111,542277411
광진실업,2020,19217604352,17013463684,36231068036,8294930643,3073849956,11368780599,3202702500,20091938929,24862287437,42977717190,-2418053240,-3184244582
광진실업,2019,18506316749,17620459366,36126776115,6434089692,1614331687,8048421379,3202702500,23308006228,28078354736,42982094105,-1209557802,-978929574
광진실업,2018,18863054962,17379642572,36242697534,5479661467,1624020620,7103682087,3202702500,24368666939,29139015447,43646395556,295353970,266636621
구영테크,2017,58001000495,1.23E+11,1.87E+11,81848867434,49349774031,1.31E+11,9897087000,31280842722,55811041237,1.50E+11,5691336047,1357296187
구영테크,2020,72082754025,1.40E+11,2.12E+11,99453595987,42806161906,1.42E+11,13197087000,39814823064,69507562488,1.97E+11,2938642459,727487106
구영테크,2019,70165073499,1.36E+11,2.07E+11,89345198235,45520418153,1.35E+11,13197087000,39787081705,71704256680,2.31E+11,5239175114,3387485911
구영테크,2018,60744298190,1.42E+11,2.03E+11,75014257583,58730815948,1.34E+11,13197087000,37219102760,68827896486,1.95E+11,5378869137,5920905400
국보디자인,2017,1.36E+11,28753212744,1.64E+11,61606791967,3491097608,65097889575,3750000000,89400677582,99283825776,2.71E+11,23215726614,13340934632
국보디자인,2020,1.05E+11,1.64E+11,2.69E+11,95126932689,8077083892,1.03E+11,3750000000,1.39E+11,1.66E+11,2.88E+11,25743067446,20099537688
국보디자인,2019,1.95E+11,27696389223,2.23E+11,94320053608,4831042043,99151095651,3750000000,1.15E+11,1.23E+11,2.69E+11,11557297792,15942955722
국보디자인,2018,1.42E+11,32690662841,1.75E+11,62027833576,4408512085,66436345661,3750000000,1.01E+11,1.09E+11,2.54E+11,16463396784,13872876052
국순당,2017,86651907851,1.56E+11,2.42E+11,12226432343,8434070526,20660502869,8929152000,1.65E+11,2.22E+11,62761236290,-4263332128,9687855298
국순당,2020,73281924573,1.72E+11,2.45E+11,11406626197,10973853812,22380480009,8929152000,1.92E+11,2.23E+11,52947425413,4581978812,18661684886
국순당,2019,73546812836,1.53E+11,2.26E+11,8551659149,8546807400,17098466549,8929152000,1.75E+11,2.09E+11,53474724530,-5969209470,-254417818
국순당,2018,72906718737,1.66E+11,2.39E+11,11783236509,11156338395,22939574904,8929152000,1.78E+11,2.16E+11,61496071504,-2994443906,-2977369162
국영지앤엠,2017,29995394567,36105607786,66101002353,11239458029,2250000000,13489458029,17447621500,20706257466,52611544324,62861661392,1410362065,1431623961
국영지앤엠,2020,32356988510,37670771403,70027759913,15036770618,3978425872,19015196490,17447621500,-1238843829,51012563423,64386055886,-2061461676,-1305458847
국영지앤엠,2019,32068323664,36588977980,68657301644,12276269998,3554580731,15830850729,17447621500,1130043663,52826450915,73013467513,991044554,1089819443
국영지앤엠,2018,25138634975,35196503272,60335138247,8586830611,0,8586830611,17447621500,-248099616,51748307636,56301480287,-920018206,-354808043
국일신동,2017,18532602920,29075810233,47608413153,2985596973,3532577957,6518174930,5545000000,35619374223,41090238223,33305117667,3899410635,2978285457
국일신동,2020,22055494083,30245174273,52300668356,1573487176,3656966215,5230453391,5545000000,34913295770,47070214965,25189340421,-141097894,93734187
국일신동,2019,19576282528,33793913729,53370196257,2185349078,3846815131,6032164209,5545000000,35181112853,47338032048,28614669284,-157966281,-103389833
국일신동,2018,18244669637,29068784536,47313454173,2692793437,3417029049,6109822486,5545000000,35732767687,41203631687,29257233168,1187468954,1012330354
국일제지,2017,46483660090,60228648213,1.07E+11,47064188688,1932575763,48996764451,21720608024,33971448484,57715543852,43992704703,311079991,1770960020
국일제지,2020,43149394084,84170301717,1.27E+11,49092041625,9011420264,58103461889,12634838400,-785930230,69216233912,1.00E+11,442998783,-475294116
국일제지,2019,51403514686,74105205732,1.26E+11,75575312340,5937361753,81512674093,12315451700,-7222761552,43996046325,83852676179,723730773,-38326422004
국일제지,2018,46699653424,67019345494,1.14E+11,55623899374,2365370974,57989270348,11639100600,31808862783,55729728570,48707045131,366361934,-2257233185
그래디언트,2017,1.23E+12,5.75E+11,1.80E+12,9.76E+11,85842780010,1.06E+12,30421046500,1.75E+11,7.42E+11,3.54E+12,29816492577,-63634928207
그래디언트,2020,1.01E+12,5.88E+11,1.60E+12,8.66E+11,1.27E+11,9.93E+11,41765628000,1.25E+11,6.10E+11,3.17E+12,-11151027762,-25807835226
그래디언트,2019,1.21E+12,5.73E+11,1.78E+12,9.80E+11,1.30E+11,1.11E+12,30421046500,1.58E+11,6.70E+11,3.41E+12,45164128609,6507368439
그래디언트,2018,1.26E+12,5.48E+11,1.81E+12,1.02E+12,79167780452,1.10E+12,30421046500,1.66E+11,7.14E+11,3.44E+12,19963614308,-4194663514
그리티,2020,73439848372,13845356404,87285204776,11847390679,3483485207,15330875886,10493849000,40155341991,71954328890,1.23E+11,2147779240,836635861
그리티,2019,82603832294,9547763481,92151595775,17294798708,675694092,17970492800,10493849000,39800315102,74181102975,1.23E+11,2913982251,1563323258
그리티,2018,89112620091,6642409512,95755029603,17801728076,3492713522,21294441598,5456991500,39813601000,74460588005,1.19E+11,8045202835,4810591746
그린플러스,2020,49804112846,39306445076,89110557922,34179404798,20897718977,55077123775,4803871000,10531076983,34033434147,62676118804,5935587937,
그린플러스,2019,38480019272,33841965686,72321984958,17448582608,17482065655,34930648263,2411935500,12461163064,37391336695,48831865530,5077237793,
그린플러스,2018,28102156218,35615041887,63717198105,17989473177,21732229415,39721702592,1740485000,9966367851,23995551473,46357454940,5106599864,
글로벌에스엠,2017,548036147,274688314,822724461,151012051,112077284,263089335,179367287,137357130,559635126,625221515,22784781,3973154
글로벌에스엠,2020,530438236,305670645,836108881,157979769,105495745,263475514,179367287,152670103,572633367,580497009,27811194,20249266
글로벌에스엠,2019,506260086,286820183,793080269,146965242,84435169,231400411,179367287,144147771,561679858,648316565,27128508,20059417
글로벌에스엠,2018,505280908,297882757,803163665,155486975,97914685,253401660,179367287,134656484,549762005,621823279,4235086,2094918
글로벌텍스프리,2018,,,,,,,,,,,,
글로본,2017,7482950897,21214341567,28697292464,1565749256,3182003127,4747752383,14000523500,-59080082633,23949540081,7109864193,-6873610322,-8625817202
글로본,2020,17606538584,18441363271,36047901855,18038573882,333010875,18371584757,15101269000,-71799029212,17676317098,4217913922,-4285822898,-5103497409
글로본,2019,12727833018,20501499340,33229332358,11315072783,1147524628,12462597411,14541568000,-66695531803,20766734947,10307315478,-4666163759,-9327465438
글로본,2018,25614422861,21941162791,47555585652,19146837630,400000000,19546837630,14000523500,-57381669180,28008748022,29814829283,1591654812,1729641441
금강철강,2017,98369831002,31613971196,1.30E+11,20836137829,1679957740,22516095569,9860000000,84782541714,1.07E+11,1.97E+11,3625335299,2976050945
금강철강,2020,98079705246,40658023597,1.39E+11,26156561280,1751370774,27907932054,9860000000,91338867624,1.11E+11,1.75E+11,3150804414,2846273936
금강철강,2019,99538456291,37066493677,1.37E+11,24595078178,1937100901,26532179079,9860000000,89620377160,1.10E+11,1.71E+11,2158369141,4389381650
금강철강,2018,92558250838,40841181767,1.33E+11,22365946135,1986573761,24352519896,9860000000,87979576055,1.09E+11,1.95E+11,1497923673,5256294580
금화피에스시,2017,1.58E+11,73557123058,2.32E+11,41410741520,6001048998,47411790518,3000000000,1.72E+11,1.84E+11,2.06E+11,33863832508,20153924897
금화피에스시,2020,1.69E+11,1.25E+11,2.94E+11,29778527128,6756522024,36535049152,3000000000,2.50E+11,2.58E+11,2.35E+11,26993690073,29941078442
금화피에스시,2019,1.84E+11,97683762924,2.82E+11,38745094728,3538220278,42283315006,3000000000,2.30E+11,2.39E+11,2.09E+11,34327290781,27677441386
금화피에스시,2018,1.78E+11,84500533668,2.63E+11,36350520180,5438899275,41789419455,3000000000,2.12E+11,2.21E+11,2.33E+11,41384787490,39649708579
기가레인,2018,,,,,,,,,,,,
기산텔레콤,2017,58352347226,11784991886,70137339112,25198660866,9946404128,35145064994,7288670000,-19998187666,34992274118,63467585353,-3230591326,-5538515588
기산텔레콤,2020,55936110908,14896412297,70832523205,25480216844,10267937740,35748154584,7288670000,-16711809277,35084368621,68812449635,423127720,337552641
기산텔레콤,2019,49053646722,17736109140,66789755862,22745330080,9353462266,32098792346,7288670000,-16929630564,34690963516,67054955067,3995819878,3498486460
기산텔레콤,2018,46536755781,9643735606,56180491387,20046566656,4492925296,24539491952,7288670000,-19130663772,31640999435,56445715551,-2927419555,-3327574574
까스텔바작,2020,70301781158,33386525302,1.04E+11,10069252443,12142556815,22211809258,3298350000,27247765308,81476497202,67274849452,7534657973,
까스텔바작,2019,66201004206,22804066713,89005070919,9931371460,2395473927,12326845387,3298350000,22452142910,76678225532,81358617157,9018784627,
까스텔바작,2018,62872975297,16393779770,79266755067,14225037801,2255020318,16480058119,3000000000,15582519235,62786696948,92346622662,14574144083,
나노,2018,,,,,,,,,,,,
나노브릭,2020,11476011496,10646087640,22122099136,6766855745,1224656204,7991511949,4560103000,-21022500245,14130587187,8651930521,67220608,-91586604
나노브릭,2019,11714242757,12837283451,24551526208,8726056584,1675657198,10401713782,4560103000,-20930913641,14149812426,7775408359,-1512607024,-763048612
나노브릭,2018,4791614121,13298364653,18089978774,10766959208,5798816162,16565775370,3356657000,-20167865029,1524203404,7186469119,-1291459188,1183721536
나노신소재,2017,61681312621,27282199315,88963511936,3920256463,2129856352,6050112815,5424166500,40747153394,82913399121,45568866446,8531076426,6827888915
나노신소재,2020,68451368424,38177723818,1.07E+11,9152227158,5332183242,14484410400,5424166500,51467224688,92144681842,48524487750,1463818298,1649534192
나노신소재,2019,74512856078,27380713237,1.02E+11,5326866553,2779112901,8105979454,5424166500,51427316730,93787589861,48892960511,5143898408,5801286198
나노신소재,2018,70792400576,27688023531,98480424107,7668503476,1956872891,9625376367,5424166500,47342218691,88855047740,52249959664,8749523405,7671621233
나노씨엠에스,2020,11467238141,6084282922,17551521063,9305753453,1948056588,11253810041,1559293500,-6433314119,6297711022,4236610159,-240029425,-2512203142
나노씨엠에스,2019,9968326668,5913142366,15881469034,9001344777,4707151509,13708496286,1218706500,-4024748866,2172972748,3978313096,-182716937,-1691120764
나노씨엠에스,2018,9831034151,4953144819,14784178970,7363595124,3632612258,10996207382,1218706500,-2403147111,3787971588,0,0,0
나노엔텍,2017,22636243018,19733652640,42369895658,16447800435,2191095615,18638896050,12234107000,-3941595395,23730999608,23809592589,1672405929,-2072183536
나노엔텍,2020,33170549003,19644901215,52815450218,4549894843,2778544386,7328439229,13398163500,10805795651,45487010989,29443386126,3403054085,2736521017
나노엔텍,2019,27247058407,19392269929,46639328336,3221564111,2392072918,5613637029,13266403500,8111398792,41025691307,26255835765,3051217194,5749945332
나노엔텍,2018,23339161301,18822520914,42161682215,5217057411,1794223932,7011281343,13146395000,3254561303,35150400872,25796821179,2825935999,3308227817
나노캠텍,2017,42233965262,31947010406,74180975668,18867460248,93000000,18960460248,9999125500,9816115912,55220515420,64733832143,-6225187500,-8132254164
나노캠텍,2020,38503247607,33530055087,72033302694,12528208640,821412781,13349621421,14040212500,-2563705513,58683681273,43311510364,917809610,-3506075285
나노캠텍,2019,42813995851,29716170353,72530166204,13172931469,159000000,13331931469,12852564500,-5686455702,59198234735,47464648504,8256594449,-16256598715
나노캠텍,2018,60079459117,48470549672,1.09E+11,42547938780,93000000,42640938780,10601018000,9490263620,65909070009,47211817526,5489289883,1121180556
나라엠앤디,2017,1.08E+11,77672642806,1.85E+11,91875491968,14985002125,1.07E+11,7230000000,56676480053,78410372075,1.41E+11,6716626676,1883151269
나라엠앤디,2020,1.22E+11,95543900752,2.18E+11,1.25E+11,11434364992,1.37E+11,7230000000,60192367924,81194343053,1.78E+11,1660678995,1494590517
나라엠앤디,2019,1.23E+11,94105231962,2.17E+11,1.21E+11,15726261121,1.36E+11,7230000000,58889313808,80741037342,1.56E+11,2116472389,1119549031
나라엠앤디,2018,1.05E+11,86225729902,1.92E+11,95541682612,16069387722,1.12E+11,7230000000,58507106656,79893644897,1.42E+11,4728164030,3744173158
나래나노텍,2018,,,,,,,,,,,,
나무가,2017,83286111205,59128208698,1.42E+11,93806286598,18018400031,1.12E+11,1908138500,-25924783359,30589633274,2.58E+11,-31479937365,-40918809376
나무가,2020,92446316069,90928086020,1.83E+11,1.38E+11,7091175189,1.45E+11,3633284500,-29306243878,38372220315,5.12E+11,-2262218470,-7890516422
나무가,2019,1.14E+11,80973983943,1.95E+11,1.41E+11,9065863497,1.50E+11,1914832000,-21885244318,44268639218,3.62E+11,2666024681,-585938810
나무가,2018,66783642320,51984018251,1.19E+11,73489063192,9856157490,83345220682,1912749500,-21326504950,35422439889,3.11E+11,3938961280,3585210238
나무기술,2018,,,,,,,,,,,,
나스미디어,2017,2.41E+11,74659841796,3.16E+11,1.72E+11,16578668293,1.88E+11,4557703000,71709025928,1.28E+11,,34298134448,26676051656
나스미디어,2020,3.61E+11,61485393604,4.22E+11,2.09E+11,12537304672,2.21E+11,4557703000,1.19E+11,2.01E+11,1.12E+11,26967943321,23134215074
나스미디어,2019,2.80E+11,76205108754,3.56E+11,1.89E+11,13628135082,2.03E+11,4557703000,1.02E+11,1.53E+11,1.17E+11,30558603138,22484087777
나스미디어,2018,2.29E+11,73804705515,3.03E+11,1.46E+11,15355743687,1.61E+11,4557703000,84215428800,1.42E+11,1.07E+11,24946232403,20596334285
나우IB,2018,,,,,,,,,,,,
나이스디앤비,2017,28885311822,18042836610,46928148432,8136475739,255576888,8392052627,7700000000,26252284045,38536095805,42282946581,8454238733,6414091501
나이스디앤비,2020,62666417299,24614749084,87281166383,18406786747,371634736,18778421483,7700000000,50208675517,68502744900,82196200010,14088152358,11291348386
나이스디앤비,2019,53601462162,25074093735,78675555897,16907562061,1677916717,18585478778,7700000000,42335910495,60090077119,77330430035,12798062463,11280367023
나이스디앤비,2018,36486728582,20173632746,56660361328,10651174395,809526943,11460701338,7700000000,34426321275,45199659990,52040928687,10423253833,9299591679
나이스정보통신,2017,3.96E+11,98251211577,4.94E+11,3.13E+11,650083106,3.14E+11,5000000000,1.74E+11,1.81E+11,3.66E+11,43124470448,36577569200
나이스정보통신,2020,6.08E+11,1.07E+11,7.15E+11,4.73E+11,1473813117,4.74E+11,5000000000,2.37E+11,2.41E+11,5.19E+11,36724046564,12982294964
나이스정보통신,2019,5.55E+11,87174741798,6.42E+11,4.07E+11,3533893645,4.11E+11,5000000000,2.27E+11,2.31E+11,4.52E+11,35567030826,29474778767
나이스정보통신,2018,4.62E+11,82947466274,5.45E+11,3.38E+11,1413318669,3.39E+11,5000000000,2.01E+11,2.06E+11,4.14E+11,35722106135,30046504281
나인테크,2018,,,,,,,,,,,,
남화산업,2020,35591488456,1.18E+11,1.53E+11,2389778648,10447962502,12837741150,4117600000,1.26E+11,1.40E+11,17713931824,7450789294,6610197685
남화산업,2019,26383948737,1.21E+11,1.47E+11,1835615214,10509692641,12345307855,4117600000,1.20E+11,1.35E+11,15007014542,5545771364,3080123012
남화산업,2018,21741661273,1.24E+11,1.45E+11,1809170989,10970242789,12779413778,4117600000,1.18E+11,1.33E+11,13448740335,3732796468,4214585483
남화토건,2017,45339946573,1.12E+11,1.57E+11,10409116450,12274540160,22683656610,5870000000,1.14E+11,1.35E+11,66352445270,5330586355,8152390996
