회사,amount,년도,2017,2018,2019,2020,2021
회사명,거래소코드,항목,amount,amount,amount,amount,amount
(주)티앤엘,340570,자산(*)(천원),29839874,32672635,43181503,79754505,98259627
제주맥주(주),276730,자산(*)(천원),30051383,38095610,41405802,62682620,87595688
엑스큐어(주),70300,자산(*)(천원),30076421,24327492,25281637,24588598,25635588
아이진(주),185490,자산(*)(천원),30284294,54044076,47264498,44329457,104422679
(주)씨에스에이코스믹,83660,자산(*)(천원),30328761,36901643,27471968,26620497,38942642
(주)스카이이앤엠,131100,자산(*)(천원),30335832,52505576,,53472348,47431404
(주)엠로,58970,자산(*)(천원),30426800,31205771,30374617,35816078,54561019
(주)노터스,278650,자산(*)(천원),30443250,41414155,57879362,69885084,87372094
켄코아에어로스페이스(주),274090,자산(*)(천원),30537087,41683563,58141500,79951116,96053890
에스비아이핀테크솔루션즈(주),950110,자산(*)(천원),30554205,75188824,75476027,131832425,235034917
이원컴포텍(주),88290,자산(*)(천원),30792667,28579332,36706599,31671962,74247869
(주)네이블커뮤니케이션즈,153460,자산(*)(천원),30886559,28037387,25949215,27181595,31144500
(주)뉴보텍,60260,자산(*)(천원),30896817,30303894,46232673,54450214,52774064
(주)휴먼엔,32860,자산(*)(천원),30945584,34819290,41532330,40929714,44962994
(주)이엔드디,101360,자산(*)(천원),31187379,29603505,38144710,73488354,116936724
(주)엔켐,348370,자산(*)(천원),31299735,54909677,126941467,185718022,392010157
(주)토박스코리아,215480,자산(*)(천원),31328838,27947088,32130003,27572765,31183871
(주)우정바이오,215380,자산(*)(천원),31398834,44789320,57631946,69816024,100136135
선진뷰티사이언스(주),86710,자산(*)(천원),31425235,53588804,82252919,87122023,103135551
(주)코데즈컴바인,47770,자산(*)(천원),31568837,35836762,44274213,49270651,55742677
(주)디케이티,290550,자산(*)(천원),31615483,42660575,55467020,54419941,131270745
(주)푸른기술,94940,자산(*)(천원),31675793,33857438,35615380,38243801,44077398
(주)파나진,46210,자산(*)(천원),31792758,24077549,21786741,27231815,31909402
