회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
비비씨(주),318410,2021년 12월,-6988920,-13325505,-39233,쇠퇴기업
비비씨(주),318410,2020년 12월,5216566,-10818078,27832252,성장기업
비씨엔씨(주),146320,1905년 7월,,,,판단불가
비에이치아이(주),83650,2018년 12월,19518334,1926121,-28130530,성숙기업
비에이치아이(주),83650,2017년 12월,25868911,-17366936,-7787294,우량기업
비에이치아이(주),83650,2020년 12월,4611445,867074,1405565,전환기업
비에이치아이(주),83650,2019년 12월,18806734,-5932881,-2439710,우량기업
비에이치아이(주),83650,2021년 12월,-18527561,-6642713,13112078,스타트업
빛샘전자(주),72950,2018년 12월,1973887,-2792371,-574642,우량기업
빛샘전자(주),72950,2017년 12월,1798547,-7741281,-734568,우량기업
빛샘전자(주),72950,2020년 12월,3195595,-5126783,1425359,성장기업
빛샘전자(주),72950,2021년 12월,2021036,-590820,-295261,우량기업
빛샘전자(주),72950,2019년 12월,4816402,-2693545,-287321,우량기업
삼강엠앤티(주),100090,2018년 12월,-4616481,-52133775,45020914,스타트업
삼강엠앤티(주),100090,2017년 12월,-13880395,-21421026,42885539,스타트업
삼강엠앤티(주),100090,2020년 12월,-47492963,-2381093,48179246,스타트업
삼강엠앤티(주),100090,2021년 12월,126471385,-39288885,-3698797,우량기업
삼강엠앤티(주),100090,2019년 12월,27686608,-21237765,2735538,성장기업
삼륭물산(주),14970,2018년 12월,3281481,-1175764,-1915162,우량기업
삼륭물산(주),14970,2019년 12월,3324399,-2447785,-1542551,우량기업
삼륭물산(주),14970,2020년 12월,638747,-1042952,271581,성장기업
삼륭물산(주),14970,2017년 12월,4725774,-3434527,-680163,우량기업
삼륭물산(주),14970,2021년 12월,1960013,-5285450,2727192,성장기업
삼목에스폼(주),18310,2020년 12월,24640484,28163928,-7962824,성숙기업
삼목에스폼(주),18310,2021년 12월,-5103876,-6548525,-19428890,쇠퇴기업
삼목에스폼(주),18310,2018년 12월,72376955,-57501185,-32129467,우량기업
삼목에스폼(주),18310,2017년 12월,62758747,-56205541,-959530,우량기업
삼목에스폼(주),18310,2019년 12월,42138978,-39421968,-6112706,우량기업
삼보모터스(주),53700,2017년 12월,9317693,-17395927,17061375,성장기업
삼보모터스(주),53700,2018년 12월,20675032,-17229968,5049219,성장기업
삼보모터스(주),53700,2019년 12월,-2653818,-13307213,8201903,스타트업
삼보모터스(주),53700,2020년 12월,28456278,-9470455,32460425,성장기업
삼보모터스(주),53700,2021년 12월,7214732,-16200832,7416571,성장기업
삼보산업(주),9620,2017년 12월,5781498,-5083154,-694428,우량기업
삼보산업(주),9620,2018년 12월,1467967,3723722,-4668493,성숙기업
삼보산업(주),9620,2019년 12월,7958578,-2199393,-6098977,우량기업
삼보산업(주),9620,2020년 12월,19601650,-24876,-17920058,우량기업
